,gps_height,closeness_to_waterbody,population,permit,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,construction_age
1352,547,Far,100,TRUE,annually,good,enough,river/lake,communal standpipe,9
1355,1272,Far,20,TRUE,per bucket,good,enough,spring,communal standpipe,5
1356,1386,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,12
1358,1366,Far,50,FALSE,monthly,good,enough,river/lake,communal standpipe,5
1359,1793,Far,200,TRUE,never pay,good,enough,spring,communal standpipe,13
1360,-4,Near,89,FALSE,never pay,salty,enough,borehole,communal standpipe,13
1365,1051,Far,120,TRUE,monthly,good,insufficient,river/lake,communal standpipe,4
1366,1659,Far,53,TRUE,annually,good,enough,river/lake,communal standpipe,20
1367,978,Near,130,TRUE,monthly,good,enough,river/lake,communal standpipe,8
1371,1361,Near,540,TRUE,monthly,good,insufficient,river/lake,communal standpipe,0
1373,1466,Far,15,TRUE,never pay,good,enough,spring,communal standpipe,41
1374,1691,Far,65,TRUE,monthly,good,dry,river/lake,communal standpipe,35
1376,1074,Near,380,TRUE,monthly,good,enough,river/lake,communal standpipe,33
1379,1798,Far,80,FALSE,never pay,good,insufficient,shallow well,hand pump,6
1381,2148,Far,20,TRUE,on failure,good,enough,spring,communal standpipe,15
1382,1512,Far,1,TRUE,never pay,good,insufficient,spring,communal standpipe,20
1383,997,Near,355,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,29
1384,426,Near,1,TRUE,never pay,good,seasonal,borehole,communal standpipe,31
1386,474,Far,1,FALSE,annually,good,enough,borehole,hand pump,9
1388,985,Far,0,TRUE,on failure,good,seasonal,shallow well,hand pump,10
1389,1841,Far,0,TRUE,never pay,good,enough,river/lake,communal standpipe,8
1390,1605,Near,560,TRUE,never pay,good,enough,spring,communal standpipe,5
1391,49,Near,200,TRUE,per bucket,good,enough,borehole,hand pump,7
1393,381,Near,56,TRUE,never pay,other,insufficient,borehole,hand pump,37
1395,821,Near,450,TRUE,monthly,good,enough,borehole,hand pump,21
1397,219,Far,400,TRUE,monthly,other,insufficient,shallow well,hand pump,3
1399,688,Near,500,FALSE,per bucket,good,insufficient,spring,communal standpipe,36
1400,1142,Far,150,TRUE,annually,good,enough,borehole,hand pump,24
1403,1544,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,2
1404,993,Far,150,TRUE,never pay,good,insufficient,spring,communal standpipe,41
1406,559,Far,1,FALSE,annually,good,insufficient,river/lake,communal standpipe,21
1410,1576,Far,150,TRUE,never pay,good,enough,spring,communal standpipe,4
1411,275,Far,700,TRUE,never pay,other,enough,shallow well,hand pump,46
1412,925,Far,0,TRUE,annually,good,enough,river/lake,communal standpipe,13
1414,259,Far,150,TRUE,on failure,good,insufficient,shallow well,hand pump,4
1416,1940,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,15
1421,1801,Near,256,TRUE,per bucket,good,enough,shallow well,hand pump,1
1422,1312,Near,145,TRUE,never pay,good,enough,borehole,hand pump,7
1425,1725,Near,265,TRUE,annually,good,insufficient,spring,communal standpipe,10
1429,1066,Far,1000,TRUE,monthly,other,enough,borehole,hand pump,19
1431,995,Near,465,TRUE,never pay,good,enough,borehole,hand pump,1
1432,1142,Far,400,FALSE,on failure,good,dry,shallow well,hand pump,14
1434,959,Far,200,FALSE,monthly,good,insufficient,shallow well,hand pump,4
1435,538,Far,1,FALSE,annually,good,enough,borehole,hand pump,13
1437,1703,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,13
1440,33,Near,400,FALSE,never pay,good,enough,shallow well,hand pump,23
1447,427,Near,1,FALSE,per bucket,salty,enough,borehole,hand pump,4
1448,1645,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,5
1453,77,Near,1632,FALSE,never pay,good,dry,river/lake,communal standpipe,23
1461,617,Far,230,FALSE,annually,good,insufficient,borehole,hand pump,15
1464,1269,Far,80,TRUE,monthly,good,insufficient,spring,communal standpipe,2
1465,1690,Far,0,FALSE,annually,good,enough,spring,communal standpipe,10
1466,1120,Far,1,TRUE,never pay,good,enough,spring,communal standpipe,39
1468,9,Near,70,FALSE,never pay,good,enough,shallow well,hand pump,5
1470,1013,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,10
1471,385,Far,1,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,39
1474,208,Near,500,TRUE,never pay,good,dry,borehole,communal standpipe,31
1475,963,Far,250,FALSE,annually,good,insufficient,shallow well,hand pump,20
1476,1147,Far,130,FALSE,never pay,good,insufficient,river/lake,communal standpipe,11
1479,718,Far,14,TRUE,per bucket,good,insufficient,spring,communal standpipe,1
1482,9,Near,100,TRUE,per bucket,good,enough,river/lake,communal standpipe,13
1485,1865,Far,125,TRUE,monthly,good,enough,spring,communal standpipe,4
1486,36,Near,250,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,2
1488,1323,Far,20,TRUE,per bucket,good,enough,spring,communal standpipe,5
1489,2123,Far,20,FALSE,never pay,good,enough,river/lake,communal standpipe,8
1490,439,Far,250,TRUE,per bucket,other,dry,borehole,communal standpipe,15
1491,322,Near,182,FALSE,never pay,other,dry,borehole,communal standpipe,41
1493,947,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,10
1494,1570,Far,350,TRUE,monthly,good,dry,river/lake,communal standpipe,38
1495,691,Far,430,FALSE,monthly,good,insufficient,borehole,communal standpipe,20
1496,1516,Far,25,TRUE,per bucket,good,enough,spring,communal standpipe,5
1498,1038,Far,2395,TRUE,annually,other,insufficient,shallow well,hand pump,4
1501,1278,Far,250,TRUE,per bucket,good,enough,shallow well,hand pump,8
1504,278,Near,1000,FALSE,never pay,good,enough,shallow well,hand pump,19
1505,1880,Far,0,TRUE,never pay,good,dry,river/lake,communal standpipe,27
1507,2166,Far,1,TRUE,per bucket,good,insufficient,spring,communal standpipe,17
1510,1535,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,5
1512,1799,Far,0,FALSE,annually,good,enough,spring,communal standpipe,17
1513,251,Near,800,FALSE,never pay,good,seasonal,river/lake,communal standpipe,46
1514,1649,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,29
1515,1093,Near,356,TRUE,monthly,good,enough,borehole,hand pump,1
1517,1242,Near,580,TRUE,monthly,good,enough,spring,communal standpipe,10
1518,1923,Near,1,TRUE,never pay,good,enough,river/lake,communal standpipe,1
1519,558,Near,280,FALSE,never pay,good,insufficient,spring,communal standpipe,40
1520,1144,Near,700,TRUE,never pay,salty,insufficient,shallow well,hand pump,9
1522,55,Near,123,FALSE,per bucket,good,enough,river/lake,communal standpipe,3
1526,1564,Far,25,TRUE,annually,good,enough,spring,communal standpipe,12
1527,1446,Far,200,TRUE,per bucket,good,insufficient,spring,communal standpipe,13
1528,1582,Far,150,TRUE,monthly,good,enough,spring,communal standpipe,14
1529,414,Near,350,FALSE,never pay,good,enough,river/lake,communal standpipe,43
1532,1243,Far,100,TRUE,monthly,good,insufficient,spring,communal standpipe,2
1534,1507,Far,200,FALSE,never pay,good,enough,borehole,hand pump,28
1537,1288,Near,453,TRUE,monthly,good,enough,river/lake,communal standpipe,7
1539,508,Far,96,TRUE,monthly,good,dry,spring,communal standpipe,21
1541,1062,Far,100,TRUE,per bucket,good,enough,spring,communal standpipe,14
1543,318,Far,1,TRUE,never pay,good,dry,river/lake,communal standpipe,41
1547,-20,Near,380,TRUE,per bucket,good,enough,borehole,communal standpipe,2
1548,327,Near,46,TRUE,never pay,good,seasonal,shallow well,hand pump,28
1550,1834,Far,620,TRUE,never pay,good,insufficient,spring,communal standpipe,39
1551,1776,Far,200,TRUE,never pay,good,enough,spring,communal standpipe,23
1552,267,Far,500,TRUE,never pay,good,insufficient,shallow well,hand pump,11
1553,1522,Far,150,TRUE,never pay,good,insufficient,spring,communal standpipe,11
1556,102,Near,200,TRUE,per bucket,good,enough,spring,communal standpipe,14
1558,1119,Near,471,TRUE,monthly,good,enough,river/lake,communal standpipe,37
1559,48,Near,90,FALSE,per bucket,good,enough,borehole,communal standpipe,3
1562,1598,Far,75,TRUE,monthly,good,enough,river/lake,communal standpipe,35
1563,1910,Far,150,TRUE,on failure,good,insufficient,spring,communal standpipe,23
1568,2333,Far,0,FALSE,never pay,good,enough,spring,communal standpipe,28
1570,27,Near,1,TRUE,never pay,good,enough,borehole,communal standpipe,8
1573,400,Near,250,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,12
1575,403,Near,100,FALSE,never pay,good,enough,river/lake,communal standpipe,3
1576,343,Near,130,TRUE,never pay,salty,enough,borehole,communal standpipe,6
1577,1004,Near,200,TRUE,monthly,good,enough,river/lake,communal standpipe,31
1579,358,Far,230,TRUE,monthly,good,enough,river/lake,communal standpipe,30
1580,1584,Far,200,TRUE,never pay,good,enough,spring,communal standpipe,33
1581,1529,Near,256,TRUE,monthly,good,enough,borehole,communal standpipe,5
1585,174,Near,50,TRUE,per bucket,good,enough,river/lake,communal standpipe,41
1586,1137,Far,120,TRUE,per bucket,good,enough,spring,communal standpipe,14
1590,1643,Near,240,TRUE,never pay,good,enough,spring,communal standpipe,1
1591,1388,Far,270,TRUE,never pay,good,enough,borehole,hand pump,28
1594,1469,Far,360,TRUE,monthly,good,dry,river/lake,communal standpipe,35
1596,1355,Near,1000,FALSE,per bucket,good,enough,borehole,communal standpipe,35
1597,718,Far,9,TRUE,per bucket,good,insufficient,spring,communal standpipe,15
1603,0,Far,590,FALSE,per bucket,salty,insufficient,borehole,communal standpipe,7
1605,256,Near,300,TRUE,never pay,good,insufficient,borehole,communal standpipe,20
1608,1711,Far,450,TRUE,never pay,good,enough,spring,communal standpipe,17
1609,1603,Far,50,TRUE,per bucket,good,enough,spring,communal standpipe,5
1610,1442,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,6
1612,1073,Near,88,TRUE,monthly,good,seasonal,river/lake,communal standpipe,1
1613,0,Far,819,FALSE,per bucket,salty,insufficient,borehole,communal standpipe,7
1614,344,Near,1506,FALSE,per bucket,salty,enough,shallow well,hand pump,4
1616,1137,Near,285,TRUE,never pay,good,enough,river/lake,communal standpipe,49
1617,1687,Far,59,TRUE,annually,good,enough,river/lake,communal standpipe,20
1618,1007,Near,120,TRUE,monthly,good,enough,river/lake,communal standpipe,1
1620,1652,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,8
1621,155,Near,40,FALSE,never pay,good,seasonal,spring,communal standpipe,14
1627,228,Near,1,TRUE,never pay,good,enough,borehole,communal standpipe,8
1630,1836,Far,40,TRUE,annually,good,enough,spring,communal standpipe,4
1631,332,Near,200,FALSE,never pay,good,enough,shallow well,hand pump,3
1633,282,Far,350,TRUE,monthly,good,enough,shallow well,hand pump,3
1635,1905,Far,0,FALSE,never pay,good,insufficient,shallow well,hand pump,13
1636,961,Far,250,FALSE,monthly,good,enough,shallow well,hand pump,15
1637,2175,Far,25,TRUE,never pay,good,enough,spring,communal standpipe,9
1639,454,Near,132,FALSE,never pay,other,dry,borehole,communal standpipe,41
1640,1027,Far,65,TRUE,on failure,good,enough,shallow well,hand pump,5
1643,506,Far,240,TRUE,annually,good,enough,river/lake,communal standpipe,46
1648,1148,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,31
1651,1825,Far,400,FALSE,never pay,good,enough,shallow well,hand pump,20
1652,186,Near,369,TRUE,never pay,salty,enough,shallow well,hand pump,1
1655,1068,Near,235,TRUE,per bucket,good,enough,borehole,communal standpipe,9
1656,1782,Far,250,TRUE,monthly,good,enough,spring,communal standpipe,3
1657,3,Near,200,FALSE,per bucket,good,enough,borehole,communal standpipe,3
1665,280,Near,600,TRUE,never pay,good,dry,borehole,communal standpipe,31
1666,1354,Far,500,FALSE,never pay,good,enough,shallow well,hand pump,16
1668,327,Far,50,TRUE,per bucket,good,enough,borehole,communal standpipe,4
1670,489,Far,200,TRUE,never pay,good,insufficient,shallow well,hand pump,18
1671,1376,Far,420,TRUE,never pay,good,enough,spring,communal standpipe,31
1674,532,Near,100,FALSE,never pay,good,insufficient,spring,communal standpipe,5
1676,440,Far,40,TRUE,per bucket,good,insufficient,borehole,communal standpipe,5
1677,1359,Far,560,TRUE,never pay,good,enough,river/lake,communal standpipe,35
1681,359,Far,150,TRUE,never pay,good,enough,borehole,communal standpipe,6
1682,338,Far,591,TRUE,never pay,good,enough,river/lake,communal standpipe,18
1684,1329,Far,500,FALSE,never pay,good,enough,shallow well,hand pump,4
1687,1425,Near,335,TRUE,annually,good,enough,borehole,hand pump,11
1688,632,Far,200,TRUE,never pay,good,enough,shallow well,hand pump,28
1690,874,Far,210,TRUE,monthly,good,enough,river/lake,communal standpipe,33
1691,1377,Far,1,TRUE,annually,good,dry,spring,communal standpipe,19
1693,464,Near,1,FALSE,per bucket,good,insufficient,spring,communal standpipe,25
1694,313,Far,90,TRUE,never pay,good,enough,shallow well,hand pump,39
1695,1393,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,6
1696,1415,Far,75,TRUE,on failure,good,enough,river/lake,communal standpipe,35
1700,1384,Near,350,TRUE,never pay,good,enough,borehole,hand pump,1
1701,847,Near,812,TRUE,per bucket,good,enough,borehole,communal standpipe,10
1702,1158,Near,195,TRUE,per bucket,good,enough,borehole,communal standpipe,2
1703,1,Near,1,TRUE,never pay,good,insufficient,borehole,communal standpipe,4
1705,1114,Far,450,TRUE,never pay,good,enough,borehole,hand pump,29
1706,1647,Near,215,TRUE,never pay,good,enough,shallow well,hand pump,15
1710,1465,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,13
1712,1721,Far,45,TRUE,monthly,good,seasonal,river/lake,communal standpipe,35
1714,1422,Near,750,TRUE,monthly,good,enough,river/lake,communal standpipe,7
1715,1263,Far,5,TRUE,per bucket,good,enough,spring,communal standpipe,5
1716,-7,Near,80,TRUE,per bucket,good,enough,river/lake,communal standpipe,20
1718,287,Far,700,TRUE,on failure,good,insufficient,river/lake,hand pump,33
1719,754,Far,1,FALSE,never pay,good,enough,shallow well,hand pump,19
1722,1526,Near,315,TRUE,on failure,good,enough,borehole,hand pump,17
1724,1493,Far,40,TRUE,never pay,good,enough,spring,communal standpipe,3
1726,87,Near,1,TRUE,never pay,good,enough,borehole,communal standpipe,7
1729,1766,Far,450,FALSE,never pay,good,insufficient,borehole,hand pump,5
1730,1133,Far,240,TRUE,annually,salty,insufficient,borehole,hand pump,20
1731,508,Far,90,TRUE,monthly,good,enough,spring,communal standpipe,1
1732,1767,Far,700,TRUE,monthly,good,enough,spring,communal standpipe,4
1733,1700,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,3
1740,842,Far,40,TRUE,per bucket,good,enough,spring,communal standpipe,12
1742,497,Far,685,TRUE,on failure,good,insufficient,shallow well,hand pump,11
1744,1220,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,36
1745,2545,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,5
1746,989,Far,0,TRUE,on failure,good,enough,river/lake,communal standpipe,35
1751,939,Far,1,TRUE,annually,good,enough,spring,communal standpipe,21
1752,126,Near,20,TRUE,monthly,good,insufficient,river/lake,communal standpipe,3
1756,1819,Far,85,TRUE,monthly,good,enough,river/lake,communal standpipe,35
1758,75,Near,300,TRUE,monthly,good,enough,borehole,communal standpipe,20
1759,261,Far,100,TRUE,never pay,good,enough,river/lake,communal standpipe,10
1762,1723,Far,200,TRUE,per bucket,good,enough,shallow well,hand pump,13
1763,0,Far,548,TRUE,monthly,good,insufficient,borehole,communal standpipe,29
1767,1804,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,28
1768,1557,Near,86,TRUE,never pay,good,insufficient,shallow well,hand pump,20
1769,251,Near,10,TRUE,per bucket,good,enough,river/lake,communal standpipe,3
1771,2135,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,30
1779,502,Near,500,TRUE,per bucket,good,enough,river/lake,communal standpipe,22
1780,1126,Far,75,TRUE,per bucket,good,enough,spring,communal standpipe,14
1786,1301,Far,860,FALSE,monthly,salty,enough,shallow well,hand pump,1
1787,407,Near,1,TRUE,never pay,salty,dry,borehole,hand pump,3
1789,1784,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,24
1792,0,Near,1,FALSE,never pay,salty,insufficient,shallow well,hand pump,24
1799,1467,Far,200,TRUE,never pay,good,enough,borehole,communal standpipe,10
1803,1991,Far,0,FALSE,never pay,good,enough,spring,communal standpipe,13
1804,1457,Far,230,TRUE,annually,other,insufficient,spring,communal standpipe,6
1805,1703,Far,35,TRUE,per bucket,good,enough,spring,communal standpipe,14
1806,259,Near,83,FALSE,per bucket,good,enough,river/lake,communal standpipe,30
1807,1801,Far,2200,TRUE,per bucket,good,enough,borehole,hand pump,5
1808,1672,Far,1,TRUE,never pay,good,insufficient,river/lake,communal standpipe,28
1811,1217,Near,540,TRUE,monthly,good,insufficient,river/lake,communal standpipe,19
1812,363,Far,1,TRUE,never pay,good,enough,shallow well,hand pump,5
1814,1130,Near,3200,FALSE,on failure,good,enough,shallow well,hand pump,17
1815,380,Near,350,FALSE,per bucket,good,enough,spring,communal standpipe,6
1818,0,Near,1070,TRUE,never pay,salty,seasonal,shallow well,hand pump,29
1819,1014,Far,0,TRUE,per bucket,good,enough,river/lake,communal standpipe,4
1823,1475,Far,120,TRUE,annually,other,insufficient,spring,communal standpipe,6
1824,1049,Far,100,TRUE,per bucket,good,insufficient,spring,communal standpipe,13
1825,39,Near,1,TRUE,per bucket,good,enough,river/lake,communal standpipe,8
1827,1269,Far,60,TRUE,never pay,good,insufficient,shallow well,hand pump,8
1828,1550,Near,215,TRUE,per bucket,good,enough,borehole,communal standpipe,5
1832,1026,Far,75,TRUE,per bucket,good,enough,spring,communal standpipe,14
1833,1670,Far,1,FALSE,monthly,good,enough,spring,communal standpipe,40
1834,748,Far,150,TRUE,per bucket,good,enough,borehole,communal standpipe,5
1835,-15,Near,30,TRUE,per bucket,good,enough,river/lake,communal standpipe,3
1836,737,Far,180,TRUE,monthly,good,enough,river/lake,communal standpipe,3
1840,1270,Far,1,TRUE,per bucket,good,enough,spring,communal standpipe,5
1842,65,Near,150,FALSE,per bucket,salty,insufficient,borehole,communal standpipe,40
1843,1983,Far,450,TRUE,annually,good,dry,spring,communal standpipe,38
1844,100,Near,415,FALSE,per bucket,good,enough,borehole,hand pump,1
1853,255,Near,380,TRUE,per bucket,good,enough,borehole,hand pump,7
1859,527,Far,1,FALSE,annually,good,insufficient,borehole,hand pump,16
1860,1900,Far,500,TRUE,per bucket,good,enough,river/lake,communal standpipe,38
1861,771,Far,450,TRUE,on failure,salty,insufficient,borehole,hand pump,5
1862,738,Far,200,FALSE,on failure,good,insufficient,shallow well,hand pump,3
1863,865,Far,60,TRUE,monthly,good,enough,spring,communal standpipe,11
1868,34,Near,150,FALSE,per bucket,good,enough,borehole,communal standpipe,13
1874,1528,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,1
1876,2338,Far,25,TRUE,on failure,good,enough,spring,communal standpipe,5
1877,532,Far,210,TRUE,annually,good,enough,river/lake,communal standpipe,0
1879,440,Far,90,TRUE,monthly,good,insufficient,shallow well,hand pump,37
1881,1163,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,37
1883,438,Near,320,FALSE,never pay,other,dry,borehole,communal standpipe,41
1887,156,Near,250,FALSE,never pay,good,seasonal,shallow well,hand pump,9
1889,7,Near,70,TRUE,never pay,good,enough,river/lake,communal standpipe,28
1890,0,Far,50,TRUE,per bucket,good,enough,borehole,communal standpipe,29
1891,860,Far,1,FALSE,never pay,good,insufficient,borehole,hand pump,10
1894,1742,Far,20,TRUE,annually,good,enough,spring,communal standpipe,8
1903,1011,Far,1500,TRUE,monthly,good,enough,river/lake,communal standpipe,2
1904,712,Far,400,FALSE,never pay,good,insufficient,shallow well,hand pump,40
1905,1343,Near,850,TRUE,never pay,good,insufficient,river/lake,communal standpipe,31
1906,1438,Far,75,TRUE,on failure,good,enough,river/lake,communal standpipe,35
1908,1166,Near,1650,FALSE,never pay,good,enough,shallow well,hand pump,11
1909,2102,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,23
1910,1898,Far,0,FALSE,annually,good,enough,spring,communal standpipe,22
1912,319,Far,100,TRUE,never pay,good,insufficient,river/lake,communal standpipe,16
1915,1336,Far,250,TRUE,monthly,good,enough,spring,communal standpipe,13
1917,436,Near,230,FALSE,per bucket,good,enough,borehole,communal standpipe,25
1919,0,Near,60,TRUE,never pay,good,insufficient,shallow well,hand pump,11
1922,1739,Far,200,TRUE,never pay,good,enough,spring,communal standpipe,23
1923,2082,Far,0,FALSE,on failure,good,enough,spring,communal standpipe,39
1924,329,Near,60,TRUE,monthly,good,enough,spring,communal standpipe,8
1925,1690,Far,20,FALSE,never pay,good,enough,spring,communal standpipe,15
1927,637,Far,250,TRUE,annually,good,enough,spring,communal standpipe,3
1929,974,Far,120,TRUE,never pay,good,dry,river/lake,communal standpipe,35
1931,1177,Near,350,FALSE,never pay,good,enough,spring,communal standpipe,42
1932,1259,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,44
1933,264,Far,150,TRUE,never pay,good,enough,river/lake,communal standpipe,10
1934,812,Far,5,TRUE,per bucket,good,enough,spring,communal standpipe,12
1940,955,Far,200,TRUE,per bucket,good,insufficient,spring,communal standpipe,43
1941,1452,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,6
1942,1284,Far,100,TRUE,monthly,salty,enough,borehole,hand pump,29
1943,284,Far,800,TRUE,never pay,good,insufficient,river/lake,communal standpipe,27
1945,700,Far,130,TRUE,per bucket,good,enough,borehole,communal standpipe,5
1948,316,Far,800,TRUE,monthly,salty,insufficient,shallow well,hand pump,17
1949,0,Near,1,FALSE,never pay,salty,insufficient,borehole,hand pump,27
1951,86,Near,400,FALSE,per bucket,salty,insufficient,borehole,communal standpipe,5
1952,189,Near,1500,FALSE,per bucket,salty,insufficient,borehole,hand pump,3
1957,1801,Far,15,TRUE,never pay,good,enough,spring,communal standpipe,5
1958,2032,Far,200,TRUE,monthly,good,enough,river/lake,communal standpipe,10
1960,1493,Near,2800,FALSE,never pay,good,enough,shallow well,hand pump,39
1967,860,Far,1,TRUE,never pay,good,enough,spring,communal standpipe,2
1972,250,Far,100,TRUE,monthly,good,insufficient,shallow well,hand pump,6
1973,495,Far,180,TRUE,monthly,good,enough,shallow well,hand pump,31
1974,1832,Far,0,FALSE,annually,good,enough,spring,communal standpipe,17
1977,1581,Near,99,TRUE,never pay,good,insufficient,shallow well,hand pump,9
1978,1376,Far,400,TRUE,never pay,good,enough,borehole,hand pump,28
1980,1260,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,41
1981,2338,Far,0,FALSE,never pay,good,enough,spring,communal standpipe,11
1984,1536,Far,400,TRUE,per bucket,good,seasonal,river/lake,communal standpipe,19
1986,231,Near,300,FALSE,never pay,salty,dry,shallow well,hand pump,6
1988,290,Far,300,TRUE,never pay,good,insufficient,river/lake,communal standpipe,15
1995,1119,Far,140,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,7
1999,800,Near,150,TRUE,monthly,good,enough,river/lake,communal standpipe,4
2002,1622,Far,90,TRUE,never pay,good,insufficient,spring,communal standpipe,8
2006,1548,Far,30,TRUE,per bucket,good,enough,river/lake,communal standpipe,6
2008,965,Near,285,TRUE,never pay,good,enough,spring,communal standpipe,31
2010,1163,Far,700,TRUE,on failure,good,enough,shallow well,hand pump,19
2012,274,Far,400,TRUE,annually,good,insufficient,shallow well,hand pump,17
2014,1703,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,43
2015,342,Far,250,TRUE,never pay,salty,enough,borehole,communal standpipe,9
2023,921,Far,250,TRUE,per bucket,good,insufficient,spring,communal standpipe,1
2024,1562,Near,608,TRUE,never pay,good,insufficient,spring,communal standpipe,5
2025,386,Far,100,TRUE,on failure,good,insufficient,shallow well,hand pump,16
2026,1969,Near,162,TRUE,annually,good,enough,spring,communal standpipe,10
2028,2227,Far,50,TRUE,on failure,good,enough,spring,communal standpipe,17
2030,469,Far,140,TRUE,per bucket,good,enough,borehole,communal standpipe,2
2031,176,Near,15,TRUE,per bucket,good,enough,river/lake,communal standpipe,3
2035,1885,Near,357,TRUE,per bucket,good,enough,borehole,hand pump,5
2036,157,Far,2500,TRUE,on failure,good,insufficient,shallow well,hand pump,13
2037,942,Far,400,TRUE,per bucket,good,insufficient,spring,communal standpipe,4
2038,984,Near,400,TRUE,monthly,good,enough,river/lake,communal standpipe,5
2042,1259,Far,580,FALSE,monthly,salty,enough,shallow well,hand pump,23
2048,1176,Near,1570,TRUE,monthly,good,enough,river/lake,communal standpipe,15
2049,1019,Near,185,TRUE,monthly,good,enough,river/lake,communal standpipe,7
2050,1246,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,38
2052,1383,Near,450,TRUE,monthly,good,enough,river/lake,communal standpipe,7
2053,487,Far,120,TRUE,on failure,good,enough,river/lake,communal standpipe,46
2056,281,Far,800,TRUE,monthly,good,enough,shallow well,hand pump,10
2059,309,Far,400,TRUE,monthly,good,enough,shallow well,hand pump,29
2061,0,Near,50,TRUE,never pay,good,insufficient,shallow well,hand pump,29
2062,1343,Far,500,FALSE,never pay,good,insufficient,shallow well,hand pump,16
2063,699,Far,65,TRUE,per bucket,good,enough,borehole,communal standpipe,5
2066,332,Far,1,TRUE,never pay,good,enough,borehole,communal standpipe,20
2067,776,Far,56,TRUE,per bucket,good,insufficient,spring,communal standpipe,5
2072,1835,Far,150,TRUE,never pay,good,insufficient,spring,communal standpipe,3
2073,1179,Far,100,TRUE,never pay,good,enough,spring,communal standpipe,13
2074,1162,Near,300,TRUE,per bucket,good,enough,borehole,communal standpipe,33
2076,969,Far,150,TRUE,per bucket,good,insufficient,spring,communal standpipe,33
2077,1212,Far,25,TRUE,per bucket,good,enough,river/lake,communal standpipe,6
2084,1797,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,4
2086,1207,Far,450,FALSE,monthly,good,enough,river/lake,communal standpipe,28
2087,1559,Near,250,FALSE,per bucket,salty,insufficient,shallow well,hand pump,20
2090,1653,Far,65,TRUE,on failure,good,dry,river/lake,communal standpipe,19
2091,729,Far,250,FALSE,monthly,good,enough,shallow well,hand pump,15
2094,1287,Near,450,TRUE,per bucket,salty,insufficient,borehole,communal standpipe,5
2095,183,Near,412,TRUE,per bucket,good,enough,borehole,communal standpipe,35
2097,265,Far,600,TRUE,never pay,good,insufficient,borehole,communal standpipe,37
2098,1055,Far,135,TRUE,never pay,good,enough,shallow well,hand pump,16
2100,718,Far,75,TRUE,per bucket,good,enough,borehole,communal standpipe,5
2101,523,Far,450,TRUE,never pay,good,enough,river/lake,communal standpipe,15
2104,959,Far,200,TRUE,per bucket,good,insufficient,borehole,communal standpipe,2
2105,906,Far,150,TRUE,monthly,good,seasonal,river/lake,communal standpipe,30
2106,1026,Far,100,TRUE,per bucket,good,insufficient,spring,communal standpipe,13
2108,274,Near,500,TRUE,never pay,good,dry,borehole,communal standpipe,31
2111,1781,Far,130,TRUE,monthly,good,enough,spring,communal standpipe,2
2112,121,Near,200,FALSE,never pay,good,seasonal,shallow well,hand pump,10
2116,1735,Far,420,TRUE,annually,good,enough,spring,communal standpipe,9
2120,1324,Near,455,TRUE,on failure,good,enough,borehole,hand pump,7
2121,1424,Far,45,TRUE,monthly,good,enough,river/lake,communal standpipe,35
2122,965,Near,135,TRUE,never pay,good,insufficient,river/lake,communal standpipe,11
2124,1367,Near,540,TRUE,monthly,good,enough,river/lake,communal standpipe,11
2125,1361,Far,25,TRUE,per bucket,good,enough,river/lake,communal standpipe,6
2129,-3,Near,70,TRUE,per bucket,good,enough,river/lake,communal standpipe,19
2131,168,Near,114,FALSE,per bucket,good,enough,river/lake,communal standpipe,3
2133,1320,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,14
