,region
11378,Arusha
11379,Kigoma
11380,Lindi
11383,Kilimanjaro
11387,Morogoro
11389,Lindi
11394,Kilimanjaro
11399,Rukwa
11401,Tanga
11403,Tanga
11407,Morogoro
11408,Iringa
11409,Pwani
11422,Iringa
11423,Lindi
11425,Ruvuma
11427,Tanga
11428,Kilimanjaro
11431,Mtwara
11432,Ruvuma
11433,Rukwa
11435,Morogoro
11436,Iringa
11437,Morogoro
11439,Iringa
11440,Arusha
11441,Ruvuma
11446,Mara
11447,Iringa
11448,Morogoro
11449,Morogoro
11451,Morogoro
11452,Rukwa
11453,Iringa
11458,Rukwa
11459,Dar es Salaam
11461,Arusha
11462,Pwani
11464,Tanga
11467,Kilimanjaro
11470,Kilimanjaro
11473,Morogoro
11477,Manyara
11479,Kilimanjaro
11480,Morogoro
11481,Morogoro
11484,Iringa
11485,Pwani
11488,Rukwa
11492,Arusha
11493,Iringa
11496,Arusha
11498,Iringa
11499,Ruvuma
11500,Pwani
11502,Kilimanjaro
11503,Tanga
11504,Morogoro
11505,Manyara
11507,Morogoro
11509,Arusha
11510,Ruvuma
11511,Iringa
11512,Morogoro
11513,Arusha
11514,Tanga
11519,Ruvuma
11521,Rukwa
11522,Morogoro
11523,Manyara
11530,Arusha
11531,Morogoro
11534,Rukwa
11535,Iringa
11537,Manyara
11540,Kilimanjaro
11541,Iringa
11542,Arusha
11543,Manyara
11546,Iringa
11547,Kilimanjaro
11550,Morogoro
11551,Rukwa
11553,Iringa
11558,Arusha
11562,Iringa
11563,Iringa
11564,Arusha
11565,Ruvuma
11567,Kigoma
11573,Mtwara
11579,Iringa
11581,Mara
11583,Ruvuma
11584,Singida
11585,Kigoma
11587,Iringa
11588,Rukwa
11589,Morogoro
11593,Tanga
11596,Morogoro
11600,Rukwa
11601,Kilimanjaro
11603,Mtwara
11604,Ruvuma
11608,Ruvuma
11609,Lindi
11611,Pwani
11612,Tanga
11613,Iringa
11614,Mtwara
11616,Mtwara
11617,Iringa
11618,Tanga
11620,Morogoro
11622,Rukwa
11626,Iringa
11627,Iringa
11631,Kilimanjaro
11632,Rukwa
11635,Pwani
11636,Mtwara
11638,Kigoma
11641,Kilimanjaro
11644,Pwani
11646,Kilimanjaro
11649,Lindi
11653,Dar es Salaam
11655,Tanga
11660,Pwani
11661,Pwani
11664,Pwani
11665,Kigoma
11666,Pwani
11667,Iringa
11668,Morogoro
11671,Lindi
11672,Pwani
11674,Mtwara
11675,Dar es Salaam
11678,Iringa
11680,Mtwara
11681,Singida
11683,Tanga
11687,Manyara
11688,Iringa
11689,Kilimanjaro
11690,Arusha
11692,Morogoro
11701,Iringa
11703,Tanga
11706,Singida
11707,Pwani
11708,Iringa
11709,Pwani
11711,Ruvuma
11712,Tanga
11713,Tanga
11716,Kilimanjaro
11723,Morogoro
11725,Iringa
11728,Rukwa
11729,Tanga
11730,Ruvuma
11731,Rukwa
11733,Manyara
11735,Ruvuma
11737,Iringa
11743,Pwani
11744,Singida
11747,Manyara
11749,Morogoro
11750,Kilimanjaro
11755,Tanga
11757,Iringa
11759,Iringa
11760,Morogoro
11763,Kilimanjaro
11764,Ruvuma
11765,Iringa
11766,Mara
11768,Manyara
11769,Kilimanjaro
11771,Lindi
11772,Arusha
11773,Tanga
11776,Iringa
11782,Kilimanjaro
11787,Mwanza
11791,Rukwa
11794,Ruvuma
11795,Kigoma
11796,Arusha
11797,Ruvuma
11801,Mtwara
11806,Tanga
11812,Ruvuma
11815,Morogoro
11818,Mwanza
11819,Kilimanjaro
11825,Iringa
11827,Ruvuma
11833,Mtwara
11841,Rukwa
11843,Iringa
11848,Kigoma
11850,Pwani
11851,Arusha
11852,Morogoro
11853,Kigoma
11854,Manyara
11855,Kilimanjaro
11857,Tanga
11858,Kigoma
11859,Arusha
11860,Ruvuma
11871,Tanga
11875,Morogoro
11876,Morogoro
11881,Iringa
11882,Morogoro
11883,Kilimanjaro
11886,Kilimanjaro
11888,Morogoro
11891,Tanga
11893,Morogoro
11897,Morogoro
11898,Iringa
11900,Iringa
11902,Mwanza
11903,Arusha
11906,Pwani
11909,Kigoma
11912,Arusha
11913,Lindi
11915,Manyara
11918,Iringa
11920,Arusha
11927,Mwanza
11930,Iringa
11934,Morogoro
11936,Iringa
11945,Iringa
11949,Iringa
11950,Tanga
11953,Iringa
11956,Kilimanjaro
11957,Iringa
11959,Iringa
11960,Ruvuma
11963,Rukwa
11971,Rukwa
11973,Tanga
11976,Kilimanjaro
11977,Pwani
11978,Mtwara
11982,Morogoro
11984,Pwani
11985,Lindi
11986,Mtwara
11987,Kigoma
11988,Kilimanjaro
11989,Dar es Salaam
11990,Morogoro
11993,Iringa
11997,Manyara
12001,Rukwa
12002,Arusha
12006,Mtwara
12007,Pwani
12008,Morogoro
12010,Kilimanjaro
12012,Rukwa
12013,Tanga
12014,Dar es Salaam
12015,Lindi
12016,Iringa
12018,Iringa
12020,Iringa
12021,Kilimanjaro
12023,Arusha
12025,Ruvuma
12028,Ruvuma
12029,Mara
12032,Arusha
12033,Tanga
12034,Ruvuma
12036,Tanga
12037,Mara
12039,Kilimanjaro
12040,Morogoro
12042,Lindi
12046,Kilimanjaro
12049,Iringa
12051,Dar es Salaam
12052,Kigoma
12053,Singida
12054,Iringa
12055,Mara
12056,Pwani
12059,Morogoro
12062,Ruvuma
12065,Kilimanjaro
12067,Ruvuma
12068,Manyara
12069,Pwani
12071,Singida
12072,Singida
12077,Morogoro
12078,Rukwa
12083,Kilimanjaro
12085,Tanga
12086,Singida
12088,Mara
12089,Kilimanjaro
12090,Mtwara
12091,Kigoma
12093,Kigoma
12094,Iringa
12095,Kilimanjaro
12096,Iringa
12097,Morogoro
12098,Arusha
12102,Ruvuma
12103,Morogoro
12104,Iringa
12107,Ruvuma
12108,Iringa
12110,Kilimanjaro
12111,Kilimanjaro
12112,Ruvuma
12115,Rukwa
12117,Rukwa
12120,Lindi
12121,Dar es Salaam
12126,Mtwara
12128,Dar es Salaam
12129,Pwani
12131,Morogoro
12135,Iringa
12137,Morogoro
12138,Pwani
12140,Mara
12141,Pwani
12142,Morogoro
12143,Pwani
12144,Pwani
12145,Mara
12146,Morogoro
12147,Kilimanjaro
12150,Rukwa
12153,Ruvuma
12154,Iringa
12155,Tanga
12156,Dar es Salaam
12157,Kigoma
12158,Kilimanjaro
12165,Tanga
12167,Iringa
12169,Dar es Salaam
12171,Arusha
12172,Lindi
12173,Manyara
12174,Iringa
12175,Morogoro
12176,Iringa
12177,Kigoma
12179,Mara
12182,Morogoro
12183,Arusha
12185,Kigoma
12187,Iringa
12189,Ruvuma
12191,Morogoro
12192,Morogoro
12193,Iringa
12194,Mtwara
12197,Kigoma
12198,Tanga
12201,Tanga
12202,Rukwa
12204,Morogoro
12205,Ruvuma
12206,Ruvuma
12210,Manyara
12213,Iringa
12214,Kilimanjaro
12219,Iringa
12220,Iringa
12228,Morogoro
12229,Rukwa
12231,Arusha
12239,Pwani
12242,Tanga
12243,Kigoma
12246,Iringa
12248,Iringa
12250,Arusha
12252,Morogoro
12259,Pwani
12260,Morogoro
12261,Morogoro
12262,Mara
12264,Arusha
12266,Iringa
12267,Iringa
12271,Kilimanjaro
12272,Kilimanjaro
12274,Shinyanga
12276,Arusha
12278,Kilimanjaro
12279,Ruvuma
12283,Morogoro
12286,Morogoro
12287,Ruvuma
12288,Pwani
12289,Mtwara
12290,Rukwa
12292,Rukwa
12295,Singida
12296,Arusha
12297,Pwani
12299,Ruvuma
12300,Morogoro
12301,Dar es Salaam
12302,Iringa
12303,Iringa
12304,Kilimanjaro
12305,Ruvuma
12307,Mara
12312,Arusha
12313,Kilimanjaro
12315,Shinyanga
12318,Iringa
12322,Pwani
12323,Pwani
12327,Dar es Salaam
12329,Kilimanjaro
12330,Kilimanjaro
12331,Kilimanjaro
12332,Mtwara
12337,Kilimanjaro
12340,Dar es Salaam
12345,Iringa
12349,Singida
12350,Singida
12351,Pwani
12353,Tanga
12354,Kigoma
12356,Morogoro
12358,Kilimanjaro
12359,Iringa
12360,Kilimanjaro
12365,Manyara
12366,Lindi
12367,Kigoma
12369,Kilimanjaro
12370,Mara
12372,Tanga
12374,Rukwa
12376,Dar es Salaam
12378,Iringa
12380,Iringa
12382,Iringa
12385,Morogoro
12393,Dar es Salaam
12394,Lindi
12396,Arusha
12397,Morogoro
12398,Kilimanjaro
12399,Mtwara
12400,Kilimanjaro
12401,Arusha
12402,Mara
12404,Iringa
12406,Kigoma
12407,Iringa
12412,Kilimanjaro
12418,Manyara
12420,Kigoma
12423,Iringa
12424,Dar es Salaam
12428,Ruvuma
12434,Ruvuma
12438,Ruvuma
12440,Pwani
12441,Tanga
12444,Singida
12446,Tanga
12448,Iringa
12449,Ruvuma
12451,Kilimanjaro
12453,Manyara
12454,Rukwa
12455,Kigoma
12456,Morogoro
12460,Ruvuma
12465,Morogoro
12470,Kilimanjaro
12471,Ruvuma
12472,Tanga
12473,Pwani
12476,Pwani
12477,Arusha
12479,Arusha
12481,Morogoro
12482,Iringa
12483,Kigoma
12486,Pwani
12489,Pwani
12490,Morogoro
12493,Lindi
12495,Pwani
12496,Arusha
12497,Ruvuma
12498,Ruvuma
12499,Singida
12500,Tanga
12503,Manyara
12506,Morogoro
12511,Kigoma
12513,Ruvuma
12514,Tanga
12516,Manyara
12518,Singida
12520,Morogoro
12521,Kilimanjaro
12522,Iringa
12524,Shinyanga
12525,Kilimanjaro
12526,Iringa
12529,Kigoma
12530,Pwani
12531,Morogoro
12538,Arusha
12539,Dar es Salaam
12542,Morogoro
12543,Pwani
12545,Kilimanjaro
12549,Morogoro
12552,Morogoro
12555,Lindi
12556,Iringa
12557,Pwani
12558,Iringa
12562,Iringa
12571,Iringa
12574,Iringa
12575,Lindi
12576,Ruvuma
12580,Arusha
12582,Kigoma
12584,Kilimanjaro
12585,Pwani
12587,Kilimanjaro
12588,Lindi
12589,Kilimanjaro
12590,Arusha
12592,Morogoro
12598,Kilimanjaro
12605,Morogoro
12607,Pwani
12608,Arusha
12611,Singida
12614,Kilimanjaro
12617,Kigoma
12619,Iringa
12622,Ruvuma
12623,Rukwa
12625,Rukwa
12626,Tanga
12628,Manyara
12629,Rukwa
12630,Kigoma
12631,Iringa
12632,Kilimanjaro
12635,Kigoma
12636,Kilimanjaro
12639,Tanga
12640,Iringa
12641,Iringa
12646,Tanga
12651,Morogoro
12653,Rukwa
12655,Iringa
12657,Kigoma
12658,Morogoro
12659,Iringa
12660,Pwani
12661,Mtwara
12666,Morogoro
12669,Singida
12670,Rukwa
12671,Iringa
12674,Kigoma
12676,Pwani
12677,Ruvuma
12678,Morogoro
12679,Pwani
12680,Manyara
12681,Kigoma
12686,Tanga
12694,Morogoro
12695,Ruvuma
12698,Rukwa
12699,Iringa
12701,Mtwara
12702,Kigoma
12704,Arusha
12708,Iringa
12710,Ruvuma
12712,Tanga
12716,Arusha
12721,Kilimanjaro
12722,Manyara
12723,Arusha
12724,Manyara
12725,Tanga
12727,Kilimanjaro
12728,Iringa
12730,Tanga
12733,Iringa
12734,Kigoma
12735,Iringa
12736,Singida
12737,Mtwara
12741,Morogoro
12743,Arusha
12744,Iringa
12747,Tanga
12750,Iringa
12751,Rukwa
12752,Iringa
12753,Morogoro
12754,Ruvuma
12757,Morogoro
12760,Dar es Salaam
12768,Rukwa
12769,Ruvuma
12770,Kilimanjaro
12771,Pwani
12775,Morogoro
12777,Tanga
12779,Tanga
12782,Kilimanjaro
12784,Dar es Salaam
12787,Iringa
12790,Mara
12793,Kilimanjaro
12794,Mara
12798,Mtwara
12799,Kilimanjaro
12800,Kilimanjaro
12801,Singida
12802,Kigoma
12808,Morogoro
12810,Morogoro
12811,Pwani
12817,Tanga
12819,Kilimanjaro
12821,Iringa
12825,Iringa
12826,Morogoro
12827,Iringa
12828,Manyara
12829,Kigoma
12831,Kilimanjaro
12833,Morogoro
12835,Morogoro
12838,Arusha
12841,Iringa
12844,Dar es Salaam
12854,Pwani
12855,Rukwa
12858,Morogoro
12859,Pwani
12863,Rukwa
12865,Iringa
12866,Morogoro
12867,Dar es Salaam
12872,Pwani
12873,Singida
12878,Iringa
12880,Arusha
12881,Mwanza
12884,Morogoro
12885,Manyara
12888,Kigoma
12889,Tanga
12890,Iringa
12891,Manyara
12894,Rukwa
12896,Morogoro
12897,Manyara
12898,Mara
12899,Morogoro
12902,Rukwa
12903,Morogoro
12905,Arusha
12907,Morogoro
12908,Kilimanjaro
12913,Morogoro
12914,Mtwara
12915,Mtwara
12917,Tanga
12918,Kilimanjaro
12919,Kilimanjaro
12920,Mtwara
12926,Kilimanjaro
12927,Morogoro
12931,Arusha
12932,Tanga
12934,Singida
12936,Iringa
12942,Ruvuma
12944,Manyara
12945,Iringa
12949,Singida
12950,Kilimanjaro
12951,Tanga
12953,Morogoro
12954,Kilimanjaro
12956,Lindi
12963,Morogoro
12965,Lindi
12966,Morogoro
12967,Rukwa
12968,Iringa
12969,Pwani
12970,Arusha
12971,Arusha
12974,Lindi
12975,Lindi
12976,Kilimanjaro
12981,Lindi
12982,Lindi
12983,Mtwara
12984,Kigoma
12985,Rukwa
12986,Morogoro
12988,Iringa
12989,Iringa
12990,Iringa
12997,Iringa
13000,Pwani
13003,Manyara
13005,Iringa
13006,Rukwa
13007,Iringa
13008,Pwani
13010,Iringa
13011,Kilimanjaro
13012,Arusha
13014,Tanga
13016,Iringa
13017,Tanga
13020,Morogoro
13021,Kilimanjaro
13023,Rukwa
13026,Singida
13028,Arusha
13030,Mara
13033,Ruvuma
13037,Mtwara
13041,Manyara
13044,Morogoro
13045,Iringa
13047,Dar es Salaam
13048,Kigoma
13050,Kilimanjaro
13051,Tanga
13052,Mara
13056,Kigoma
13058,Manyara
13059,Dar es Salaam
13063,Singida
13064,Arusha
13067,Tanga
13068,Ruvuma
13070,Kigoma
13071,Rukwa
13078,Arusha
13079,Mtwara
13080,Pwani
13082,Pwani
13085,Kigoma
13087,Iringa
13089,Pwani
13095,Iringa
13096,Mara
13097,Morogoro
13100,Iringa
13109,Kigoma
13112,Morogoro
13113,Kilimanjaro
13115,Morogoro
13116,Pwani
13119,Kilimanjaro
13123,Morogoro
13125,Iringa
13127,Morogoro
13128,Ruvuma
13129,Iringa
13131,Dar es Salaam
13132,Iringa
13133,Iringa
13135,Rukwa
13138,Ruvuma
13139,Kilimanjaro
13140,Morogoro
13142,Arusha
13144,Arusha
13145,Arusha
13146,Tanga
13147,Kilimanjaro
13148,Kigoma
13151,Rukwa
13152,Mtwara
13156,Arusha
13159,Kilimanjaro
13160,Arusha
13162,Tanga
13163,Morogoro
13166,Ruvuma
13167,Rukwa
13171,Kigoma
13172,Iringa
13174,Pwani
13175,Kilimanjaro
13177,Morogoro
13183,Manyara
13184,Iringa
13186,Manyara
13187,Mtwara
13188,Tanga
13195,Ruvuma
13196,Kigoma
13197,Kilimanjaro
13199,Morogoro
13201,Rukwa
13203,Rukwa
13205,Iringa
13207,Pwani
13210,Arusha
13211,Ruvuma
13212,Iringa
13213,Iringa
13214,Mtwara
13215,Manyara
13216,Iringa
13221,Morogoro
13223,Morogoro
13224,Morogoro
13226,Tanga
13229,Kilimanjaro
13232,Morogoro
13233,Pwani
13236,Rukwa
13238,Morogoro
13239,Kilimanjaro
13240,Pwani
13244,Mara
13245,Kilimanjaro
13247,Pwani
13250,Arusha
13251,Arusha
13252,Tanga
13254,Iringa
13255,Kilimanjaro
13256,Arusha
13258,Kilimanjaro
13259,Ruvuma
13260,Iringa
13261,Singida
13262,Arusha
13264,Manyara
13265,Iringa
13267,Tanga
13268,Tanga
13269,Iringa
13272,Kilimanjaro
13273,Dar es Salaam
13277,Kilimanjaro
13282,Singida
13283,Kilimanjaro
13286,Morogoro
13289,Kilimanjaro
13294,Morogoro
13297,Iringa
13298,Iringa
13303,Iringa
13306,Kigoma
13310,Kilimanjaro
13315,Pwani
13316,Kilimanjaro
13323,Singida
13326,Kilimanjaro
13327,Iringa
13328,Iringa
13329,Kigoma
13331,Kigoma
13333,Ruvuma
13341,Rukwa
13345,Iringa
13349,Tanga
13350,Kilimanjaro
13351,Morogoro
13354,Rukwa
13359,Pwani
13361,Singida
13362,Iringa
13364,Rukwa
13366,Mara
13368,Morogoro
13370,Iringa
13371,Kilimanjaro
13372,Morogoro
13374,Tanga
13376,Iringa
13377,Tanga
13383,Arusha
13385,Iringa
13386,Lindi
13391,Ruvuma
13392,Rukwa
13394,Kilimanjaro
13395,Morogoro
13398,Pwani
13399,Arusha
13402,Manyara
13406,Manyara
13408,Iringa
13411,Singida
13413,Iringa
13416,Kilimanjaro
13418,Manyara
13420,Iringa
13421,Arusha
13422,Morogoro
13424,Manyara
13426,Singida
13427,Rukwa
13428,Kilimanjaro
13429,Ruvuma
13430,Rukwa
13431,Mtwara
13433,Morogoro
13435,Shinyanga
13440,Tanga
13442,Tanga
13445,Singida
13446,Mtwara
13447,Kilimanjaro
13448,Iringa
13449,Rukwa
13452,Morogoro
13453,Iringa
13454,Iringa
13456,Morogoro
13459,Tanga
13465,Pwani
13472,Morogoro
13476,Ruvuma
13478,Lindi
13479,Kigoma
13480,Tanga
13481,Manyara
13482,Rukwa
13485,Morogoro
13486,Morogoro
13491,Kilimanjaro
13494,Iringa
13495,Ruvuma
13496,Morogoro
13497,Iringa
13498,Ruvuma
13501,Mtwara
13503,Morogoro
13506,Singida
13511,Rukwa
13512,Lindi
13513,Morogoro
13515,Manyara
13516,Morogoro
13518,Tanga
13519,Ruvuma
13524,Rukwa
13528,Kigoma
13531,Tanga
13533,Morogoro
13542,Ruvuma
13543,Singida
13549,Rukwa
13550,Manyara
13552,Mtwara
13554,Ruvuma
13558,Pwani
13560,Lindi
13561,Mtwara
13565,Tanga
13567,Arusha
13568,Rukwa
13569,Iringa
13570,Morogoro
13574,Kigoma
13575,Iringa
13576,Pwani
13581,Ruvuma
13583,Pwani
13586,Iringa
13588,Singida
13591,Kilimanjaro
13593,Rukwa
13594,Ruvuma
13604,Pwani
13605,Pwani
13606,Kilimanjaro
13607,Iringa
13608,Kilimanjaro
13609,Tanga
13611,Iringa
13614,Manyara
13615,Rukwa
13616,Shinyanga
13618,Iringa
13619,Iringa
13621,Iringa
13622,Pwani
13623,Kilimanjaro
13625,Iringa
13629,Morogoro
13631,Rukwa
13633,Iringa
13634,Mtwara
13635,Rukwa
13636,Dar es Salaam
13639,Kigoma
13648,Iringa
13656,Lindi
13658,Ruvuma
13660,Iringa
13661,Morogoro
13662,Iringa
13663,Shinyanga
13666,Kilimanjaro
13669,Singida
13673,Ruvuma
13677,Shinyanga
13679,Iringa
13680,Morogoro
13682,Mara
13685,Kilimanjaro
13686,Rukwa
13688,Dar es Salaam
13690,Tanga
13691,Pwani
13693,Iringa
13695,Morogoro
13696,Iringa
13697,Kilimanjaro
13700,Iringa
13703,Iringa
13705,Manyara
13711,Lindi
13714,Iringa
13716,Pwani
13720,Manyara
13724,Tanga
13727,Kilimanjaro
13728,Mtwara
13733,Kigoma
13737,Dar es Salaam
13739,Iringa
13741,Singida
13743,Morogoro
13744,Kilimanjaro
13752,Rukwa
13755,Kilimanjaro
13756,Singida
13757,Iringa
13761,Kigoma
13762,Shinyanga
13765,Pwani
13766,Morogoro
13769,Ruvuma
13771,Pwani
13773,Tanga
13777,Iringa
13778,Arusha
13781,Rukwa
13786,Kilimanjaro
13787,Kigoma
13791,Ruvuma
13794,Tanga
13796,Pwani
13797,Dar es Salaam
13801,Ruvuma
13802,Singida
13803,Kigoma
13808,Tanga
13809,Kilimanjaro
13810,Pwani
13811,Kigoma
13814,Morogoro
13815,Kilimanjaro
13820,Kilimanjaro
13821,Ruvuma
13822,Iringa
13824,Tanga
13825,Iringa
13826,Kilimanjaro
13833,Arusha
13836,Arusha
13837,Iringa
13838,Mara
13841,Morogoro
13843,Morogoro
13845,Iringa
13847,Iringa
13850,Mtwara
13851,Morogoro
13852,Pwani
13854,Morogoro
13855,Iringa
13856,Ruvuma
13857,Morogoro
13858,Tanga
13860,Kilimanjaro
13862,Kilimanjaro
13863,Pwani
13864,Morogoro
13865,Iringa
13867,Manyara
13869,Kilimanjaro
13871,Kilimanjaro
13875,Iringa
13881,Kilimanjaro
13882,Tanga
13888,Iringa
13892,Iringa
13893,Morogoro
13895,Arusha
13896,Iringa
13897,Kilimanjaro
13899,Singida
13900,Singida
13901,Kilimanjaro
13903,Mtwara
13904,Rukwa
13905,Iringa
13907,Tanga
13910,Rukwa
13913,Iringa
13918,Manyara
13919,Mtwara
13920,Iringa
13921,Morogoro
13924,Tanga
13925,Pwani
13927,Mwanza
13928,Iringa
13929,Iringa
13931,Iringa
13934,Iringa
13935,Singida
13936,Pwani
13941,Tanga
13942,Dar es Salaam
13945,Rukwa
13946,Kigoma
13949,Morogoro
13950,Ruvuma
13954,Iringa
13955,Mtwara
13956,Kigoma
13957,Kilimanjaro
13958,Kilimanjaro
13960,Morogoro
13961,Iringa
13964,Rukwa
13965,Singida
13968,Arusha
13969,Lindi
13970,Tanga
13974,Tanga
13975,Dar es Salaam
13978,Iringa
13979,Kilimanjaro
13983,Morogoro
13984,Morogoro
13985,Rukwa
13987,Iringa
13988,Lindi
13989,Tanga
13990,Kilimanjaro
13991,Morogoro
13992,Tanga
13994,Morogoro
13996,Iringa
13997,Kilimanjaro
13999,Mara
14000,Rukwa
14001,Morogoro
14004,Mara
14007,Kigoma
14012,Kigoma
14013,Iringa
14015,Iringa
14020,Iringa
14021,Kilimanjaro
14024,Morogoro
14025,Manyara
14030,Kilimanjaro
14034,Rukwa
14038,Pwani
14041,Kigoma
14042,Kilimanjaro
14043,Arusha
14046,Iringa
14048,Iringa
14049,Rukwa
14050,Morogoro
14051,Morogoro
14053,Kilimanjaro
14055,Manyara
14058,Ruvuma
14060,Tanga
14062,Iringa
14063,Iringa
14065,Pwani
14066,Pwani
14069,Morogoro
14075,Iringa
14076,Tanga
14077,Kilimanjaro
14078,Morogoro
14079,Pwani
14081,Lindi
14083,Lindi
14088,Ruvuma
14090,Lindi
14092,Arusha
14097,Kigoma
14098,Ruvuma
14101,Arusha
14102,Pwani
14103,Ruvuma
14106,Rukwa
14107,Dar es Salaam
14110,Tanga
14111,Morogoro
14112,Kilimanjaro
14113,Kigoma
14116,Iringa
14117,Iringa
14119,Pwani
14125,Morogoro
14127,Kilimanjaro
14128,Kilimanjaro
14129,Ruvuma
14133,Kilimanjaro
14134,Kilimanjaro
14137,Kigoma
14138,Manyara
14140,Kilimanjaro
14142,Iringa
14143,Kilimanjaro
14144,Mtwara
14145,Kilimanjaro
14147,Ruvuma
14149,Manyara
14150,Dar es Salaam
14152,Kilimanjaro
14154,Iringa
14156,Iringa
14163,Kilimanjaro
14166,Kilimanjaro
14168,Singida
14170,Pwani
14172,Tanga
14174,Pwani
14176,Morogoro
14177,Arusha
14179,Iringa
14180,Tanga
14181,Tanga
14185,Lindi
14186,Rukwa
14188,Iringa
14189,Morogoro
14191,Morogoro
14194,Ruvuma
14199,Rukwa
14202,Arusha
14203,Pwani
14204,Mtwara
14208,Tanga
14210,Iringa
14211,Morogoro
14212,Iringa
14217,Iringa
14220,Manyara
14221,Morogoro
14224,Mtwara
14226,Iringa
14227,Tanga
14228,Mtwara
14229,Ruvuma
14232,Tanga
14233,Iringa
14237,Arusha
14242,Rukwa
14245,Kilimanjaro
14246,Mara
14249,Morogoro
14252,Lindi
14255,Ruvuma
14257,Iringa
14260,Iringa
14263,Arusha
14266,Pwani
14268,Kilimanjaro
14270,Singida
14271,Iringa
14272,Morogoro
14274,Mtwara
14276,Arusha
14279,Kigoma
14280,Rukwa
14281,Manyara
14284,Ruvuma
14286,Kigoma
14293,Iringa
14295,Morogoro
14296,Iringa
14297,Mara
14299,Singida
14302,Kilimanjaro
14304,Kigoma
14306,Kigoma
14307,Iringa
14320,Arusha
14321,Rukwa
14323,Iringa
14326,Manyara
14327,Dar es Salaam
14332,Pwani
14335,Mtwara
14336,Pwani
14337,Morogoro
14338,Morogoro
14340,Arusha
14342,Morogoro
14343,Morogoro
14354,Ruvuma
14355,Pwani
14361,Manyara
14363,Iringa
14364,Manyara
14365,Rukwa
14366,Iringa
14370,Iringa
14372,Tanga
14373,Morogoro
14378,Kilimanjaro
14380,Iringa
14381,Manyara
14382,Iringa
14383,Arusha
14385,Singida
14388,Morogoro
14390,Tanga
14392,Kilimanjaro
14395,Iringa
14396,Tanga
14397,Kilimanjaro
14398,Tanga
14399,Mtwara
14400,Manyara
14401,Arusha
14406,Kilimanjaro
14409,Tanga
14413,Morogoro
14415,Tanga
14416,Iringa
14419,Kilimanjaro
14422,Mara
14423,Manyara
14426,Kilimanjaro
14428,Kigoma
14433,Manyara
14436,Lindi
14437,Morogoro
14438,Iringa
14439,Iringa
14447,Arusha
14448,Singida
14449,Mara
14453,Ruvuma
14454,Arusha
14455,Mtwara
14457,Mtwara
14458,Ruvuma
14459,Arusha
14461,Iringa
14462,Rukwa
14463,Kigoma
14464,Kilimanjaro
14468,Manyara
14469,Iringa
14471,Singida
14472,Pwani
14473,Rukwa
14474,Tanga
14475,Iringa
14476,Arusha
14477,Manyara
14478,Arusha
14482,Arusha
14483,Iringa
14487,Kigoma
14492,Kigoma
14495,Iringa
14496,Morogoro
14499,Ruvuma
14506,Singida
14507,Morogoro
14508,Pwani
14509,Kilimanjaro
14511,Kilimanjaro
14512,Singida
14515,Morogoro
14516,Rukwa
14517,Arusha
14519,Arusha
14520,Iringa
14522,Iringa
14523,Kilimanjaro
14524,Kigoma
14525,Iringa
14527,Iringa
14528,Arusha
14531,Singida
14532,Rukwa
14534,Rukwa
14536,Tanga
14538,Kilimanjaro
14540,Dar es Salaam
14541,Morogoro
14542,Singida
14547,Kigoma
14550,Kilimanjaro
14551,Morogoro
14552,Morogoro
14553,Tanga
14555,Morogoro
14557,Arusha
14558,Ruvuma
14560,Kigoma
14566,Mtwara
14567,Kigoma
14569,Iringa
14571,Pwani
14573,Kilimanjaro
14576,Kigoma
14577,Lindi
14578,Morogoro
14579,Tanga
14583,Manyara
14584,Ruvuma
14585,Pwani
14586,Pwani
14589,Kigoma
14590,Rukwa
14593,Iringa
14594,Singida
14596,Morogoro
14597,Iringa
14601,Iringa
14602,Rukwa
14604,Manyara
14605,Kilimanjaro
14610,Morogoro
14612,Arusha
14614,Kigoma
14615,Ruvuma
14616,Manyara
14617,Kilimanjaro
14619,Manyara
14622,Iringa
14624,Iringa
14628,Morogoro
14630,Kilimanjaro
14631,Morogoro
14636,Kigoma
14638,Kilimanjaro
14642,Kilimanjaro
14644,Rukwa
14645,Pwani
14647,Arusha
14648,Lindi
14649,Iringa
14652,Rukwa
14657,Manyara
14659,Kilimanjaro
14660,Lindi
14663,Arusha
14664,Ruvuma
14666,Pwani
14667,Morogoro
14670,Iringa
14671,Iringa
14673,Iringa
14674,Mtwara
14679,Rukwa
14680,Kilimanjaro
14681,Iringa
14687,Mtwara
14688,Morogoro
14690,Rukwa
14693,Kilimanjaro
14694,Kilimanjaro
14696,Singida
14699,Morogoro
14700,Rukwa
14701,Arusha
14703,Kilimanjaro
14705,Ruvuma
14706,Kilimanjaro
14707,Iringa
14708,Kilimanjaro
14710,Iringa
14712,Pwani
14713,Kigoma
14716,Morogoro
14719,Iringa
14722,Kilimanjaro
14723,Iringa
14724,Arusha
14731,Kilimanjaro
14733,Tanga
14735,Kilimanjaro
14736,Ruvuma
14737,Kilimanjaro
14738,Iringa
14739,Arusha
14740,Tanga
14741,Kilimanjaro
14743,Kilimanjaro
14744,Ruvuma
14750,Tanga
14751,Dar es Salaam
14752,Singida
14753,Iringa
14754,Morogoro
14756,Kilimanjaro
14757,Tanga
14760,Kilimanjaro
14761,Mara
14762,Iringa
14768,Dar es Salaam
14769,Arusha
14773,Tanga
14774,Singida
