,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group,pop_categ
954,2214,Iringa,0,TRUE,FALSE,11,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
955,179,Lindi,360,TRUE,TRUE,5,nira/tanira,vwc,never pay,salty,enough,shallow well,hand pump,functional,Fourth
956,536,Ruvuma,1,TRUE,FALSE,14,swn 80,vwc,annually,good,enough,borehole,hand pump,non functional,First
957,1654,Kilimanjaro,57,TRUE,TRUE,15,gravity,vwc,on failure,good,insufficient,spring,communal standpipe,functional,Second
958,15,Lindi,234,TRUE,FALSE,27,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional,Third
959,1493,Iringa,120,TRUE,FALSE,29,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Second
960,1729,Iringa,0,TRUE,FALSE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
961,1966,Iringa,5,TRUE,FALSE,7,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
962,1611,Iringa,60,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,borehole,hand pump,non functional,Second
963,1923,Iringa,50,TRUE,TRUE,6,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Second
964,764,Rukwa,350,TRUE,TRUE,1,gravity,parastatal,never pay,good,seasonal,rainwater harvesting,communal standpipe,functional,Fourth
965,1232,Kigoma,500,TRUE,TRUE,10,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Fourth
966,959,Kilimanjaro,130,TRUE,TRUE,41,gravity,water board,never pay,good,insufficient,spring,communal standpipe,functional,Second
967,2036,Rukwa,450,TRUE,FALSE,22,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional,Fourth
968,1546,Kilimanjaro,1,TRUE,TRUE,4,gravity,company,monthly,good,enough,spring,communal standpipe,functional,First
969,625,Arusha,180,TRUE,TRUE,8,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Third
970,2188,Iringa,0,FALSE,FALSE,39,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional,First
971,292,Morogoro,300,TRUE,TRUE,28,submersible,vwc,never pay,good,insufficient,borehole,communal standpipe,functional,Third
972,1447,Kigoma,360,TRUE,TRUE,22,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional,Fourth
973,1208,Mara,500,TRUE,TRUE,1,afridev,wug,per bucket,good,enough,borehole,hand pump,non functional,Fourth
974,1716,Arusha,200,TRUE,TRUE,6,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
975,2075,Iringa,170,TRUE,FALSE,3,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional,Third
976,241,Pwani,30,TRUE,TRUE,10,submersible,wua,per bucket,good,enough,river/lake,communal standpipe,non functional,Second
977,1666,Iringa,80,TRUE,FALSE,7,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Second
978,269,Morogoro,210,TRUE,TRUE,18,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional,Third
979,51,Pwani,1,TRUE,FALSE,3,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional,First
980,17,Dar es Salaam,140,TRUE,FALSE,3,submersible,parastatal,never pay,good,enough,borehole,communal standpipe,functional needs repair,Third
981,1015,Ruvuma,0,TRUE,TRUE,35,gravity,vwc,on failure,good,dry,river/lake,communal standpipe,non functional,First
982,1491,Iringa,58,TRUE,TRUE,35,gravity,wua,on failure,good,enough,river/lake,communal standpipe,functional needs repair,Second
983,1152,Kilimanjaro,100,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Second
984,1203,Rukwa,350,TRUE,TRUE,28,india mark ii,vwc,on failure,salty,insufficient,borehole,hand pump,functional,Fourth
985,-42,Pwani,1,TRUE,TRUE,7,mono,vwc,per bucket,good,enough,borehole,communal standpipe,non functional,First
986,729,Iringa,1,TRUE,TRUE,2,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional,First
987,305,Morogoro,90,TRUE,TRUE,2,gravity,wug,on failure,good,enough,river/lake,communal standpipe,functional,Second
988,831,Kigoma,360,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Fourth
989,292,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional,First
990,1556,Singida,176,TRUE,TRUE,7,mono,wug,per bucket,good,enough,borehole,communal standpipe,functional needs repair,Third
991,285,Morogoro,700,TRUE,TRUE,17,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,Fourth
992,1973,Iringa,1,TRUE,TRUE,6,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
993,1621,Arusha,200,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
994,3,Pwani,500,TRUE,TRUE,3,mono,parastatal,never pay,good,enough,river/lake,communal standpipe,functional,Fourth
995,645,Kilimanjaro,100,TRUE,TRUE,8,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional,Second
996,966,Kigoma,500,TRUE,TRUE,5,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Fourth
997,1636,Iringa,80,TRUE,FALSE,7,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Second
998,57,Pwani,50,TRUE,TRUE,3,mono,parastatal,per bucket,good,enough,river/lake,communal standpipe,functional,Second
999,276,Morogoro,120,TRUE,TRUE,9,rope pump,vwc,on failure,salty,insufficient,shallow well,hand pump,functional needs repair,Second
1000,1778,Iringa,500,FALSE,FALSE,4,swn 80,vwc,never pay,good,insufficient,borehole,hand pump,non functional,Fourth
1001,1516,Kigoma,1250,TRUE,FALSE,25,afridev,vwc,monthly,good,enough,borehole,hand pump,non functional,Fourth
1002,149,Morogoro,240,TRUE,TRUE,27,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional,Third
1003,-18,Pwani,50,TRUE,TRUE,23,submersible,vwc,monthly,good,enough,river/lake,communal standpipe,non functional,Second
1004,280,Morogoro,600,TRUE,TRUE,28,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,Fourth
1005,0,Morogoro,600,TRUE,TRUE,18,swn 80,vwc,annually,good,insufficient,shallow well,hand pump,non functional,Fourth
1006,1589,Manyara,203,TRUE,TRUE,1,gravity,wua,per bucket,good,enough,spring,communal standpipe,functional,Third
1007,262,Morogoro,300,TRUE,TRUE,15,swn 80,vwc,never pay,good,insufficient,shallow well,hand pump,non functional,Third
1008,1688,Kilimanjaro,1,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,non functional,First
1009,1194,Tanga,1,TRUE,TRUE,44,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
1010,965,Ruvuma,250,TRUE,FALSE,15,swn 80,wug,monthly,good,enough,shallow well,hand pump,functional,Third
1011,856,Singida,300,FALSE,FALSE,38,mono,vwc,never pay,salty,enough,borehole,communal standpipe,non functional,Third
1012,0,Morogoro,380,TRUE,TRUE,29,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,non functional,Fourth
1013,21,Pwani,100,TRUE,TRUE,25,mono,vwc,never pay,good,enough,river/lake,communal standpipe,non functional,Second
1014,13,Pwani,32,FALSE,TRUE,10,mono,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Second
1015,1073,Kigoma,50,TRUE,TRUE,33,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair,Second
1016,980,Manyara,154,TRUE,TRUE,11,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair,Third
1017,583,Morogoro,1,TRUE,TRUE,42,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,First
1018,1665,Rukwa,300,FALSE,TRUE,4,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional,Third
1019,1496,Manyara,2013,TRUE,FALSE,2,india mark ii,vwc,per bucket,salty,insufficient,shallow well,hand pump,functional,Fourth
1020,1880,Iringa,75,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,Second
1021,1436,Kilimanjaro,32,TRUE,TRUE,4,gravity,vwc,annually,good,enough,spring,communal standpipe,non functional,Second
1022,222,Tanga,100,TRUE,FALSE,10,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Second
1023,127,Pwani,1,FALSE,TRUE,9,gravity,private operator,per bucket,good,enough,borehole,communal standpipe,functional,First
1024,1654,Kilimanjaro,1,TRUE,TRUE,38,gravity,company,monthly,good,enough,spring,communal standpipe,non functional,First
1025,2116,Iringa,0,TRUE,FALSE,23,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,First
1026,1797,Iringa,50,TRUE,TRUE,35,gravity,wua,monthly,good,seasonal,river/lake,communal standpipe,functional needs repair,Second
1027,487,Tanga,60,TRUE,FALSE,22,submersible,vwc,never pay,good,enough,spring,communal standpipe,non functional,Second
1028,338,Morogoro,150,TRUE,TRUE,3,submersible,vwc,never pay,good,enough,borehole,communal standpipe,functional,Third
1029,304,Morogoro,250,TRUE,TRUE,3,india mark ii,vwc,never pay,good,insufficient,shallow well,hand pump,non functional,Third
1030,273,Morogoro,100,TRUE,TRUE,3,rope pump,vwc,never pay,good,insufficient,shallow well,hand pump,functional,Second
1031,237,Pwani,40,FALSE,TRUE,5,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional,Second
1032,959,Ruvuma,350,TRUE,TRUE,8,india mark ii,vwc,on failure,good,dry,shallow well,hand pump,non functional,Fourth
1033,1442,Manyara,1600,TRUE,TRUE,18,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,functional,Fourth
1034,779,Kilimanjaro,30,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Second
1035,795,Morogoro,1,TRUE,TRUE,31,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional,First
1036,1084,Singida,350,TRUE,FALSE,41,mono,vwc,never pay,good,enough,borehole,communal standpipe,functional needs repair,Fourth
1037,0,Tanga,300,TRUE,TRUE,6,nira/tanira,vwc,per bucket,salty,enough,shallow well,hand pump,functional,Third
1038,1689,Manyara,253,TRUE,TRUE,1,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional,Third
1039,288,Morogoro,1000,TRUE,TRUE,27,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,Fourth
1040,2151,Iringa,125,TRUE,TRUE,13,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Second
1041,2,Tanga,200,TRUE,FALSE,40,submersible,vwc,never pay,salty,enough,borehole,communal standpipe,non functional,Third
1042,1479,Singida,204,TRUE,TRUE,24,swn 80,vwc,never pay,good,insufficient,borehole,hand pump,non functional,Third
1043,1608,Tanga,1,TRUE,TRUE,24,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
1044,229,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional,First
1045,1366,Manyara,1,TRUE,TRUE,9,submersible,vwc,never pay,good,insufficient,borehole,communal standpipe,non functional,First
1046,90,Lindi,213,FALSE,FALSE,3,gravity,vwc,per bucket,good,insufficient,river/lake,communal standpipe,functional,Third
1047,1388,Iringa,650,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional,Fourth
1048,787,Ruvuma,750,TRUE,TRUE,30,india mark ii,vwc,annually,good,seasonal,shallow well,hand pump,functional,Fourth
1049,744,Kilimanjaro,120,TRUE,TRUE,2,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair,Second
1050,1732,Manyara,135,TRUE,TRUE,7,mono,vwc,never pay,good,enough,borehole,communal standpipe,functional,Third
1051,383,Lindi,405,TRUE,TRUE,6,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,functional needs repair,Fourth
1052,2064,Iringa,25,TRUE,FALSE,10,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,functional,Second
1053,531,Tanga,150,TRUE,TRUE,27,submersible,vwc,per bucket,good,insufficient,river/lake,communal standpipe,non functional,Third
1054,340,Lindi,236,TRUE,TRUE,28,nira/tanira,vwc,never pay,salty,enough,shallow well,hand pump,non functional,Third
1055,1557,Arusha,200,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
1056,1045,Kilimanjaro,532,TRUE,TRUE,5,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Fourth
1057,1169,Kilimanjaro,1,TRUE,TRUE,11,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
1058,81,Pwani,1,TRUE,TRUE,3,mono,trust,per bucket,good,dry,river/lake,communal standpipe,functional,First
1059,189,Pwani,50,TRUE,TRUE,10,submersible,wua,per bucket,good,enough,river/lake,communal standpipe,functional,Second
1060,0,Morogoro,500,TRUE,TRUE,29,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,functional,Fourth
1061,946,Kilimanjaro,10,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,First
1062,84,Dar es Salaam,150,TRUE,FALSE,3,submersible,wug,per bucket,good,enough,borehole,communal standpipe,non functional,Third
1063,255,Morogoro,210,TRUE,TRUE,18,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair,Third
1064,1550,Kilimanjaro,210,TRUE,TRUE,37,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,non functional,Third
1065,0,Tanga,700,TRUE,TRUE,12,afridev,vwc,per bucket,good,insufficient,shallow well,hand pump,non functional,Fourth
1066,1106,Manyara,200,TRUE,TRUE,7,gravity,vwc,per bucket,good,enough,borehole,communal standpipe,functional,Third
1067,1710,Rukwa,59,TRUE,FALSE,22,swn 80,vwc,never pay,good,enough,borehole,hand pump,functional,Second
1068,479,Ruvuma,1,TRUE,FALSE,19,swn 80,vwc,annually,good,enough,borehole,hand pump,functional,First
1069,437,Morogoro,150,TRUE,TRUE,15,submersible,wug,per bucket,good,insufficient,borehole,communal standpipe,functional,Third
1070,1783,Tanga,1,TRUE,TRUE,21,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
1071,330,Morogoro,64,TRUE,TRUE,34,gravity,wug,monthly,good,enough,river/lake,communal standpipe,functional,Second
1072,1562,Singida,458,TRUE,TRUE,15,afridev,wug,annually,good,enough,borehole,hand pump,functional,Fourth
1073,-15,Pwani,30,TRUE,FALSE,7,submersible,private operator,per bucket,good,enough,borehole,communal standpipe,functional,Second
1074,1360,Iringa,153,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional,Third
1075,338,Morogoro,130,TRUE,TRUE,2,gravity,wug,never pay,good,enough,river/lake,communal standpipe,functional,Second
1076,1920,Arusha,150,TRUE,TRUE,16,gravity,vwc,never pay,fluoride,insufficient,spring,communal standpipe,functional,Third
1077,984,Ruvuma,300,TRUE,FALSE,6,other handpump,wug,never pay,good,dry,shallow well,hand pump,non functional,Third
1078,1080,Kigoma,320,TRUE,TRUE,13,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional needs repair,Fourth
1079,0,Tanga,100,TRUE,TRUE,42,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional,Second
1080,1369,Shinyanga,500,TRUE,FALSE,7,nira/tanira,wug,never pay,good,enough,shallow well,hand pump,functional,Fourth
1081,1290,Kigoma,650,TRUE,TRUE,6,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional needs repair,Fourth
1082,1503,Kilimanjaro,1,TRUE,TRUE,33,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional,First
1083,2276,Iringa,0,TRUE,FALSE,11,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
1084,1298,Arusha,400,TRUE,TRUE,19,gravity,vwc,per bucket,good,seasonal,river/lake,communal standpipe,non functional,Fourth
1085,759,Rukwa,4100,FALSE,FALSE,4,swn 80,vwc,never pay,colored,enough,shallow well,hand pump,functional,Fourth
1086,1658,Arusha,200,TRUE,TRUE,6,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
1087,1509,Kilimanjaro,150,TRUE,TRUE,2,gravity,vwc,annually,good,insufficient,river/lake,communal standpipe,functional,Third
1088,1527,Arusha,200,TRUE,TRUE,14,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
1089,-47,Lindi,1,FALSE,FALSE,1,afridev,vwc,never pay,good,insufficient,borehole,hand pump,functional,First
1090,1756,Rukwa,100,TRUE,TRUE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Second
1091,443,Morogoro,60,TRUE,TRUE,31,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair,Second
1092,931,Ruvuma,1000,TRUE,FALSE,4,swn 80,wug,monthly,good,insufficient,shallow well,hand pump,functional,Fourth
1093,887,Ruvuma,126,TRUE,TRUE,11,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Second
1094,1168,Mara,350,TRUE,TRUE,3,afridev,wug,on failure,salty,enough,borehole,hand pump,functional,Fourth
1095,1696,Rukwa,45,TRUE,TRUE,32,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional,Second
1096,1153,Rukwa,50,FALSE,TRUE,41,gravity,water authority,never pay,good,enough,spring,communal standpipe,non functional,Second
1097,1430,Singida,205,TRUE,TRUE,7,submersible,wua,per bucket,good,enough,borehole,communal standpipe,functional,Third
1098,1651,Rukwa,1,TRUE,FALSE,28,india mark ii,vwc,never pay,good,enough,borehole,hand pump,non functional,First
1099,1200,Kigoma,1740,TRUE,FALSE,3,india mark ii,water board,monthly,good,enough,borehole,hand pump,functional,Fourth
1100,1330,Kilimanjaro,60,TRUE,FALSE,41,gravity,wua,monthly,good,insufficient,spring,communal standpipe,functional,Second
1101,290,Pwani,2300,TRUE,FALSE,3,india mark ii,vwc,per bucket,salty,insufficient,shallow well,hand pump,functional,Fourth
1102,0,Morogoro,749,TRUE,FALSE,7,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,non functional,Fourth
1103,781,Kilimanjaro,250,TRUE,FALSE,1,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Third
1104,2130,Iringa,20,TRUE,FALSE,9,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
1105,885,Kilimanjaro,2500,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Fourth
1106,1103,Rukwa,200,FALSE,TRUE,5,gravity,water authority,never pay,good,enough,spring,communal standpipe,functional,Third
1107,830,Kilimanjaro,350,TRUE,TRUE,4,submersible,water authority,per bucket,good,insufficient,borehole,communal standpipe,functional,Fourth
1108,938,Iringa,1,TRUE,TRUE,12,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
1109,387,Tanga,1,TRUE,TRUE,41,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional,First
1110,238,Pwani,1,TRUE,TRUE,5,india mark ii,private operator,never pay,good,insufficient,shallow well,hand pump,non functional,First
1111,493,Ruvuma,36,TRUE,TRUE,21,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Second
1112,1260,Arusha,150,TRUE,TRUE,13,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Third
1113,2100,Iringa,25,TRUE,FALSE,19,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,Second
1114,1477,Kilimanjaro,1,TRUE,TRUE,12,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
1115,341,Morogoro,260,TRUE,TRUE,18,gravity,wug,monthly,good,enough,river/lake,communal standpipe,functional,Third
1116,304,Lindi,1850,TRUE,TRUE,6,submersible,vwc,per bucket,salty,enough,borehole,communal standpipe,functional,Fourth
1117,844,Ruvuma,250,TRUE,TRUE,31,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional,Third
1118,1207,Manyara,802,TRUE,TRUE,20,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,functional,Fourth
1119,1152,Kigoma,1400,TRUE,FALSE,17,nira/tanira,vwc,on failure,good,enough,shallow well,hand pump,functional,Fourth
1120,285,Morogoro,400,TRUE,TRUE,19,swn 80,vwc,on failure,good,insufficient,shallow well,hand pump,non functional,Fourth
1121,1462,Singida,595,TRUE,TRUE,7,afridev,vwc,annually,good,enough,borehole,hand pump,functional,Fourth
1122,358,Pwani,150,TRUE,TRUE,9,submersible,wua,per bucket,good,enough,river/lake,communal standpipe,functional,Third
1123,-11,Pwani,12,FALSE,TRUE,3,mono,private operator,per bucket,good,enough,river/lake,communal standpipe,functional,First
1124,110,Pwani,20,TRUE,TRUE,3,mono,vwc,per bucket,good,insufficient,river/lake,communal standpipe,non functional,First
1125,1392,Kilimanjaro,1,TRUE,TRUE,6,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
1126,1573,Iringa,30,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,borehole,hand pump,functional,Second
1127,1258,Iringa,1,TRUE,TRUE,29,gravity,vwc,annually,good,enough,spring,communal standpipe,functional needs repair,First
1128,146,Dar es Salaam,217,TRUE,FALSE,23,submersible,vwc,never pay,good,dry,river/lake,communal standpipe,non functional,Third
1129,1268,Manyara,240,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional,Third
1130,1467,Iringa,120,TRUE,FALSE,3,nira/tanira,vwc,monthly,good,enough,borehole,hand pump,functional,Second
1131,830,Ruvuma,1,FALSE,FALSE,7,submersible,private operator,per bucket,good,enough,dam,communal standpipe,functional,First
1132,308,Morogoro,300,TRUE,TRUE,19,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional,Third
1133,308,Lindi,560,TRUE,TRUE,15,submersible,vwc,never pay,good,enough,borehole,communal standpipe,non functional,Fourth
1134,1515,Arusha,150,TRUE,TRUE,18,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional,Third
1135,907,Rukwa,150,TRUE,TRUE,2,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Third
1136,865,Kilimanjaro,90,TRUE,FALSE,21,gravity,vwc,monthly,good,enough,spring,communal standpipe,non functional,Second
1137,2172,Iringa,23,FALSE,TRUE,5,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Second
1138,251,Pwani,20,FALSE,TRUE,10,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional,First
1139,1979,Rukwa,0,TRUE,TRUE,31,india mark ii,vwc,annually,good,enough,borehole,hand pump,functional,First
1140,1272,Singida,300,FALSE,FALSE,2,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,functional,Third
1141,2116,Iringa,0,FALSE,FALSE,39,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional,First
1142,1290,Iringa,52,TRUE,TRUE,27,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional,Second
1143,527,Tanga,500,TRUE,TRUE,33,submersible,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Fourth
1144,390,Mtwara,1,TRUE,TRUE,32,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional,First
1145,1907,Iringa,0,TRUE,FALSE,13,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,First
1146,996,Manyara,365,TRUE,TRUE,29,gravity,water board,per bucket,good,insufficient,river/lake,communal standpipe,functional,Fourth
1147,1177,Kilimanjaro,50,TRUE,TRUE,13,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Second
1148,130,Pwani,168,TRUE,FALSE,11,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,functional,Third
1149,1562,Singida,215,TRUE,TRUE,15,afridev,vwc,never pay,good,enough,borehole,hand pump,non functional,Third
1150,1683,Iringa,50,TRUE,FALSE,7,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Second
1151,795,Ruvuma,180,TRUE,TRUE,23,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional,Third
1152,1254,Kilimanjaro,1,TRUE,TRUE,9,gravity,company,monthly,good,insufficient,spring,communal standpipe,functional,First
1153,0,Tanga,1009,TRUE,FALSE,21,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional,Fourth
1154,1203,Mara,850,TRUE,TRUE,2,afridev,vwc,monthly,salty,enough,shallow well,hand pump,functional,Fourth
1155,367,Lindi,239,TRUE,TRUE,28,nira/tanira,vwc,never pay,salty,enough,shallow well,hand pump,functional needs repair,Third
1156,419,Mtwara,560,TRUE,FALSE,1,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,non functional,Fourth
1157,1473,Iringa,97,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional,Second
1158,319,Mtwara,1,TRUE,FALSE,14,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional,First
1159,963,Manyara,258,TRUE,TRUE,16,swn 80,vwc,per bucket,good,enough,shallow well,hand pump,functional,Third
1160,459,Morogoro,300,TRUE,TRUE,3,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,Third
1161,1672,Kilimanjaro,70,TRUE,FALSE,9,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional needs repair,Second
1162,7,Dar es Salaam,2698,TRUE,FALSE,3,submersible,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Fourth
1163,1752,Kilimanjaro,1,TRUE,TRUE,1,gravity,company,monthly,good,enough,spring,communal standpipe,functional,First
1164,1888,Tanga,1,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional,First
1165,812,Kigoma,143,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Third
1166,1423,Iringa,140,TRUE,TRUE,29,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional,Third
1167,461,Mtwara,1,TRUE,FALSE,25,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional,First
1168,168,Mtwara,1,TRUE,TRUE,7,india mark ii,vwc,never pay,salty,enough,borehole,hand pump,functional,First
1169,323,Morogoro,100,TRUE,TRUE,17,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional,Second
1170,1758,Manyara,350,TRUE,TRUE,2,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional,Fourth
1171,90,Pwani,330,TRUE,FALSE,4,nira/tanira,vwc,per bucket,good,enough,shallow well,hand pump,non functional,Fourth
1172,30,Lindi,235,FALSE,FALSE,1,india mark ii,vwc,never pay,salty,insufficient,borehole,hand pump,non functional,Third
1173,2190,Iringa,25,FALSE,FALSE,13,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional,Second
1174,1772,Iringa,20,TRUE,FALSE,4,swn 80,vwc,monthly,good,enough,borehole,hand pump,functional,First
1175,1635,Arusha,1200,TRUE,TRUE,3,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Fourth
1176,1827,Kilimanjaro,1,TRUE,TRUE,1,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional,First
1177,1264,Kilimanjaro,60,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Second
1178,1636,Kilimanjaro,45,TRUE,FALSE,41,gravity,wua,monthly,good,enough,spring,communal standpipe,functional needs repair,Second
1179,1483,Singida,84,TRUE,TRUE,9,afridev,wug,per bucket,good,enough,borehole,hand pump,functional,Second
1180,276,Mtwara,810,TRUE,TRUE,31,submersible,vwc,never pay,good,insufficient,borehole,communal standpipe,non functional,Fourth
1181,1634,Arusha,200,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
1182,976,Ruvuma,1,TRUE,TRUE,35,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional needs repair,First
