,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group
1329,1817,Iringa,0,TRUE,FALSE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1330,520,Kilimanjaro,90,TRUE,TRUE,11,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1331,747,Morogoro,150,TRUE,TRUE,3,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
1332,750,Kilimanjaro,120,TRUE,TRUE,46,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,non functional
1333,683,Tanga,150,TRUE,FALSE,7,submersible,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
1334,2001,Iringa,20,TRUE,FALSE,5,rope pump,vwc,never pay,good,enough,shallow well,hand pump,non functional
1335,1069,Kilimanjaro,1,TRUE,TRUE,20,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional
1336,1211,Kilimanjaro,413,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
1337,988,Ruvuma,425,TRUE,TRUE,35,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional needs repair
1338,-32,Pwani,1,TRUE,TRUE,10,nira/tanira,vwc,per bucket,salty,enough,shallow well,hand pump,functional
1339,911,Iringa,1,TRUE,TRUE,12,gravity,vwc,annually,good,dry,spring,communal standpipe,non functional
1340,1303,Singida,250,TRUE,TRUE,5,mono,vwc,per bucket,salty,insufficient,borehole,communal standpipe,non functional
1341,1203,Mara,250,TRUE,TRUE,22,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,non functional
1342,2154,Iringa,80,TRUE,FALSE,13,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional
1343,1512,Kigoma,950,TRUE,TRUE,25,submersible,private operator,monthly,good,enough,borehole,communal standpipe,functional
1344,1807,Iringa,300,TRUE,TRUE,5,swn 80,vwc,annually,good,enough,borehole,hand pump,functional
1345,159,Morogoro,50,TRUE,TRUE,13,gravity,vwc,never pay,good,seasonal,rainwater harvesting,communal standpipe,non functional
1346,1480,Singida,530,TRUE,TRUE,12,afridev,wug,monthly,good,insufficient,borehole,hand pump,functional
1347,1378,Kilimanjaro,90,TRUE,TRUE,13,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional needs repair
1348,842,Kilimanjaro,120,TRUE,TRUE,2,submersible,private operator,per bucket,good,insufficient,borehole,communal standpipe,functional
1349,1441,Manyara,800,TRUE,FALSE,7,submersible,vwc,per bucket,salty,dry,borehole,communal standpipe,non functional
1350,1624,Iringa,250,TRUE,FALSE,7,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1351,1671,Iringa,1,TRUE,FALSE,21,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1352,2111,Iringa,125,TRUE,FALSE,13,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1353,1066,Kilimanjaro,15,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,non functional
1354,465,Mtwara,423,TRUE,TRUE,41,submersible,water board,per bucket,good,enough,spring,communal standpipe,functional
1355,720,Iringa,800,TRUE,TRUE,13,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1356,1261,Singida,230,TRUE,TRUE,5,mono,vwc,per bucket,salty,enough,borehole,communal standpipe,non functional
1357,1196,Singida,325,TRUE,TRUE,16,afridev,vwc,on failure,milky,enough,borehole,hand pump,functional
1358,-22,Pwani,800,FALSE,TRUE,2,submersible,parastatal,never pay,good,enough,river/lake,communal standpipe,functional
1359,974,Arusha,150,TRUE,TRUE,33,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional
1360,315,Mtwara,420,TRUE,TRUE,31,submersible,vwc,never pay,good,seasonal,borehole,communal standpipe,functional
1361,1125,Rukwa,90,TRUE,TRUE,5,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1362,1071,Singida,679,TRUE,TRUE,9,submersible,parastatal,per bucket,good,enough,borehole,communal standpipe,functional
1363,995,Ruvuma,0,TRUE,TRUE,8,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional
1364,1044,Rukwa,500,TRUE,TRUE,26,nira/tanira,vwc,per bucket,good,enough,shallow well,hand pump,functional
1365,553,Iringa,200,TRUE,TRUE,29,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,non functional
1366,139,Tanga,900,TRUE,FALSE,9,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional
1367,1477,Iringa,45,TRUE,TRUE,3,gravity,wua,on failure,good,enough,river/lake,communal standpipe,functional
1368,319,Mtwara,1,TRUE,TRUE,31,submersible,vwc,per bucket,good,seasonal,borehole,communal standpipe,functional
1369,1088,Arusha,150,TRUE,TRUE,13,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional
1370,1531,Arusha,300,TRUE,TRUE,18,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1371,1238,Kigoma,300,TRUE,FALSE,7,gravity,water board,monthly,good,enough,spring,communal standpipe,functional needs repair
1372,2176,Iringa,0,TRUE,TRUE,5,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1373,1945,Iringa,5,TRUE,TRUE,11,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1374,441,Ruvuma,60,TRUE,TRUE,9,gravity,vwc,monthly,colored,insufficient,spring,communal standpipe,functional
1375,1781,Tanga,1,TRUE,TRUE,28,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional needs repair
1376,807,Kigoma,0,TRUE,TRUE,4,nira/tanira,vwc,never pay,good,dry,shallow well,hand pump,non functional
1377,761,Iringa,1,TRUE,TRUE,28,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1378,1694,Arusha,300,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1379,829,Kigoma,1500,TRUE,TRUE,4,gravity,parastatal,monthly,good,enough,river/lake,communal standpipe,functional
1380,1069,Manyara,300,TRUE,TRUE,2,gravity,vwc,never pay,good,seasonal,rainwater harvesting,communal standpipe,functional needs repair
1381,-5,Pwani,85,FALSE,TRUE,3,mono,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1382,175,Pwani,30,FALSE,TRUE,9,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1383,1202,Manyara,96,TRUE,TRUE,2,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1384,1524,Singida,896,TRUE,TRUE,5,submersible,parastatal,never pay,good,enough,borehole,communal standpipe,functional
1385,1584,Manyara,335,TRUE,TRUE,10,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
1386,1304,Kilimanjaro,1,TRUE,TRUE,12,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
1387,0,Tanga,450,TRUE,TRUE,19,nira/tanira,vwc,never pay,salty,dry,shallow well,hand pump,non functional
1388,579,Ruvuma,1800,TRUE,FALSE,10,swn 80,wug,monthly,good,insufficient,shallow well,hand pump,functional
1389,106,Pwani,5,TRUE,TRUE,3,gravity,private operator,monthly,good,insufficient,river/lake,communal standpipe,functional
1390,1754,Tanga,1,TRUE,TRUE,28,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1391,1170,Kigoma,570,TRUE,TRUE,30,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional needs repair
1392,717,Kilimanjaro,450,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
1393,93,Pwani,1,TRUE,TRUE,8,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional
1394,1238,Kilimanjaro,46,TRUE,FALSE,6,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,non functional
1395,2304,Iringa,50,TRUE,TRUE,17,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1396,1245,Kigoma,1530,TRUE,FALSE,18,india mark ii,vwc,monthly,good,enough,borehole,hand pump,non functional
1397,1436,Iringa,100,TRUE,TRUE,29,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
1398,331,Morogoro,250,TRUE,TRUE,4,india mark ii,vwc,never pay,salty,insufficient,shallow well,hand pump,functional
1399,987,Manyara,185,TRUE,TRUE,1,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1400,305,Morogoro,236,TRUE,TRUE,20,swn 80,wug,never pay,good,insufficient,shallow well,hand pump,non functional
1401,67,Pwani,400,TRUE,FALSE,6,india mark ii,vwc,never pay,good,enough,shallow well,hand pump,functional
1402,341,Pwani,1,TRUE,FALSE,4,india mark ii,private operator,per bucket,salty,enough,borehole,hand pump,non functional
1403,1417,Iringa,210,TRUE,TRUE,28,gravity,vwc,monthly,good,dry,spring,communal standpipe,non functional
1404,2044,Iringa,0,TRUE,FALSE,4,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
1405,1475,Ruvuma,0,TRUE,TRUE,16,submersible,vwc,annually,good,enough,river/lake,communal standpipe,functional
1406,2138,Iringa,50,TRUE,FALSE,13,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1407,1279,Iringa,710,TRUE,TRUE,26,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1408,1072,Kilimanjaro,120,TRUE,TRUE,6,gravity,water board,monthly,good,insufficient,spring,communal standpipe,functional
1409,38,Pwani,1500,TRUE,FALSE,4,swn 80,vwc,never pay,good,dry,shallow well,hand pump,non functional
1410,267,Morogoro,125,TRUE,TRUE,42,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
1411,106,Pwani,150,FALSE,TRUE,5,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1412,-9,Lindi,1,FALSE,FALSE,5,india mark ii,vwc,never pay,salty,insufficient,borehole,hand pump,non functional
1413,799,Kigoma,230,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair
1414,1395,Iringa,300,TRUE,FALSE,14,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1415,413,Tanga,150,TRUE,FALSE,43,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
1416,1553,Singida,100,TRUE,TRUE,15,nira/tanira,vwc,never pay,good,insufficient,rainwater harvesting,hand pump,functional
1417,423,Morogoro,250,TRUE,TRUE,15,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional
1418,407,Tanga,50,TRUE,FALSE,7,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
1419,-28,Pwani,1,TRUE,TRUE,39,mono,vwc,never pay,good,dry,borehole,communal standpipe,non functional
1420,2067,Iringa,50,TRUE,TRUE,5,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
1421,1282,Arusha,150,TRUE,TRUE,2,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1422,1275,Morogoro,150,TRUE,TRUE,8,submersible,vwc,never pay,good,enough,borehole,communal standpipe,non functional
1423,1595,Iringa,40,TRUE,FALSE,4,rope pump,vwc,on failure,good,enough,borehole,hand pump,functional
1424,965,Kigoma,160,TRUE,TRUE,29,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,non functional
1425,1546,Kilimanjaro,160,TRUE,FALSE,6,gravity,wua,monthly,good,insufficient,river/lake,communal standpipe,functional
1426,1109,Kigoma,250,TRUE,TRUE,30,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional needs repair
1427,557,Morogoro,230,TRUE,TRUE,15,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,functional
1428,1570,Rukwa,450,TRUE,FALSE,22,swn 80,vwc,never pay,salty,enough,borehole,hand pump,non functional
1429,333,Morogoro,1,TRUE,TRUE,6,submersible,vwc,never pay,good,enough,borehole,communal standpipe,non functional
1430,1844,Manyara,120,TRUE,TRUE,10,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1431,578,Mtwara,1,TRUE,FALSE,9,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional
1432,14,Pwani,200,TRUE,TRUE,3,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1433,1224,Iringa,500,TRUE,TRUE,23,gravity,vwc,annually,good,seasonal,spring,communal standpipe,functional
1434,1401,Arusha,150,TRUE,TRUE,11,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
1435,1619,Arusha,150,TRUE,TRUE,13,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional
1436,1373,Manyara,600,TRUE,TRUE,17,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional
1437,1029,Ruvuma,700,TRUE,TRUE,28,gravity,parastatal,never pay,good,enough,river/lake,communal standpipe,functional
1438,1142,Mara,600,FALSE,TRUE,35,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,non functional
1439,166,Morogoro,300,TRUE,TRUE,16,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional
1440,1378,Mara,385,TRUE,FALSE,20,submersible,vwc,per bucket,good,enough,river/lake,communal standpipe,non functional
1441,1732,Tanga,1,TRUE,TRUE,24,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional needs repair
1442,447,Ruvuma,40,TRUE,TRUE,5,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional
1443,477,Tanga,80,TRUE,FALSE,19,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1444,1463,Manyara,400,TRUE,TRUE,11,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,functional
1445,1677,Iringa,0,TRUE,TRUE,13,swn 80,vwc,never pay,good,enough,borehole,hand pump,non functional
1446,-20,Pwani,20,TRUE,TRUE,3,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1447,1308,Mara,350,TRUE,TRUE,2,afridev,vwc,monthly,salty,enough,borehole,hand pump,functional
1448,906,Ruvuma,0,TRUE,TRUE,6,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
1449,314,Morogoro,1,TRUE,TRUE,18,gravity,wug,never pay,good,enough,river/lake,communal standpipe,functional
1450,7,Pwani,150,TRUE,TRUE,4,mono,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
1451,965,Ruvuma,250,TRUE,FALSE,15,swn 80,wug,monthly,good,enough,shallow well,hand pump,functional
1452,960,Ruvuma,0,FALSE,TRUE,36,gravity,vwc,monthly,good,dry,river/lake,communal standpipe,non functional
1453,1864,Arusha,150,TRUE,TRUE,23,gravity,vwc,on failure,good,insufficient,spring,communal standpipe,functional
1454,1303,Ruvuma,0,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1455,803,Ruvuma,180,TRUE,TRUE,31,gravity,vwc,monthly,good,seasonal,river/lake,communal standpipe,functional
1456,678,Kilimanjaro,150,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
1457,1140,Iringa,1,TRUE,TRUE,22,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1458,1789,Iringa,1,TRUE,TRUE,5,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional
1459,258,Morogoro,300,TRUE,TRUE,5,nira/tanira,vwc,monthly,salty,enough,shallow well,hand pump,functional
1460,781,Ruvuma,0,TRUE,TRUE,11,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
1461,302,Morogoro,200,TRUE,TRUE,10,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional
1462,1684,Iringa,1,TRUE,TRUE,9,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1463,339,Tanga,200,TRUE,TRUE,37,submersible,vwc,per bucket,good,enough,river/lake,communal standpipe,non functional
1464,-18,Lindi,123,TRUE,TRUE,9,nira/tanira,vwc,never pay,good,dry,shallow well,hand pump,non functional
1465,19,Tanga,500,TRUE,FALSE,53,submersible,private operator,never pay,good,enough,borehole,communal standpipe,non functional
1466,1652,Manyara,362,TRUE,TRUE,14,gravity,vwc,never pay,good,enough,spring,improved spring,functional
1467,230,Lindi,3020,TRUE,FALSE,33,nira/tanira,vwc,never pay,good,insufficient,shallow well,hand pump,functional
1468,911,Iringa,1,TRUE,TRUE,29,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1469,372,Lindi,290,TRUE,TRUE,6,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,functional
1470,9,Pwani,1,FALSE,TRUE,4,mono,private operator,per bucket,good,enough,borehole,communal standpipe,functional
1471,1759,Kilimanjaro,1,TRUE,TRUE,4,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional
1472,1024,Manyara,185,TRUE,TRUE,2,afridev,vwc,never pay,fluoride,enough,borehole,hand pump,functional
1473,2226,Iringa,25,TRUE,FALSE,21,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1474,1034,Kigoma,650,TRUE,TRUE,29,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional needs repair
1475,277,Morogoro,260,TRUE,TRUE,3,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,functional
1476,1235,Kilimanjaro,235,TRUE,TRUE,11,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
1477,1484,Arusha,400,TRUE,TRUE,2,submersible,vwc,never pay,good,insufficient,borehole,communal standpipe,functional
1478,1442,Iringa,212,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional
1479,540,Ruvuma,1,TRUE,FALSE,14,swn 80,vwc,annually,good,enough,borehole,hand pump,functional
1480,42,Tanga,150,TRUE,FALSE,5,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,non functional
1481,266,Morogoro,60,TRUE,TRUE,5,nira/tanira,vwc,on failure,good,insufficient,shallow well,hand pump,functional
1482,786,Kilimanjaro,1,TRUE,TRUE,9,gravity,water authority,per bucket,good,insufficient,spring,communal standpipe,functional
1483,320,Tanga,60,TRUE,FALSE,6,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional
1484,1325,Singida,550,TRUE,FALSE,35,mono,vwc,never pay,good,enough,borehole,communal standpipe,non functional
1485,1119,Kigoma,350,TRUE,TRUE,13,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional
1486,1174,Singida,4500,TRUE,FALSE,9,wind-powered,vwc,per bucket,salty,enough,borehole,communal standpipe,functional
1487,1144,Mwanza,250,TRUE,TRUE,14,nira/tanira,vwc,never pay,good,insufficient,shallow well,hand pump,non functional
1488,1587,Manyara,250,TRUE,TRUE,16,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional
1489,355,Tanga,100,TRUE,FALSE,43,submersible,vwc,never pay,good,enough,borehole,communal standpipe,non functional
1490,1506,Singida,140,TRUE,TRUE,10,afridev,wug,monthly,good,enough,borehole,hand pump,functional
1491,713,Kilimanjaro,1,TRUE,TRUE,37,gravity,water authority,monthly,good,insufficient,spring,communal standpipe,non functional
1492,26,Pwani,1,TRUE,TRUE,2,afridev,trust,per bucket,good,enough,shallow well,hand pump,functional
1493,1609,Manyara,253,TRUE,TRUE,10,submersible,vwc,per bucket,good,enough,rainwater harvesting,communal standpipe,non functional
1494,1141,Rukwa,130,TRUE,TRUE,41,gravity,vwc,annually,good,enough,spring,communal standpipe,functional needs repair
1495,1466,Iringa,75,TRUE,TRUE,3,gravity,wua,on failure,good,enough,river/lake,communal standpipe,functional
1496,1234,Manyara,250,TRUE,TRUE,14,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
1497,739,Ruvuma,0,TRUE,TRUE,11,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
1498,1141,Rukwa,460,TRUE,TRUE,25,india mark ii,vwc,annually,good,insufficient,borehole,hand pump,functional
1499,1175,Morogoro,120,TRUE,TRUE,5,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional
1500,1662,Iringa,40,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1501,1510,Kigoma,740,TRUE,TRUE,24,gravity,water board,never pay,good,enough,spring,communal standpipe,functional
1502,468,Ruvuma,1,TRUE,FALSE,9,other handpump,vwc,annually,good,enough,borehole,hand pump,functional
1503,115,Mtwara,300,TRUE,TRUE,25,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional
1504,1450,Iringa,400,TRUE,TRUE,30,gravity,vwc,monthly,good,dry,spring,communal standpipe,non functional
1505,1296,Manyara,240,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1506,2122,Iringa,25,TRUE,TRUE,9,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1507,1484,Singida,134,TRUE,TRUE,9,afridev,wug,monthly,good,insufficient,borehole,hand pump,functional
1508,-13,Pwani,3226,TRUE,TRUE,8,mono,vwc,never pay,good,insufficient,borehole,communal standpipe,non functional
1509,1081,Kigoma,650,TRUE,TRUE,13,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional
1510,1560,Manyara,260,TRUE,TRUE,10,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional
1511,1773,Tanga,1,TRUE,TRUE,21,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1512,648,Morogoro,50,TRUE,TRUE,5,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
1513,179,Pwani,50,FALSE,TRUE,4,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1514,1358,Iringa,600,TRUE,TRUE,4,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1515,1314,Singida,350,TRUE,FALSE,41,mono,vwc,never pay,salty,enough,borehole,communal standpipe,non functional
1516,1345,Kilimanjaro,32,TRUE,FALSE,6,gravity,wua,monthly,good,insufficient,spring,communal standpipe,functional
1517,1358,Iringa,60,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
1518,67,Pwani,4000,TRUE,FALSE,3,india mark ii,vwc,never pay,salty,enough,shallow well,hand pump,non functional
1519,1410,Iringa,65,TRUE,FALSE,33,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1520,1407,Iringa,1,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
1521,1785,Iringa,100,TRUE,TRUE,3,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional
1522,-8,Pwani,1,TRUE,TRUE,3,mono,water board,per bucket,good,enough,borehole,communal standpipe,functional
1523,274,Morogoro,200,TRUE,TRUE,13,nira/tanira,vwc,monthly,good,insufficient,shallow well,hand pump,functional
1524,1588,Manyara,240,TRUE,TRUE,9,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1525,-16,Pwani,50,FALSE,FALSE,6,gravity,private operator,per bucket,salty,enough,borehole,communal standpipe,functional
1526,2137,Rukwa,750,TRUE,TRUE,29,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
1527,1001,Ruvuma,2500,TRUE,TRUE,23,india mark ii,vwc,on failure,good,seasonal,shallow well,hand pump,functional
1528,324,Morogoro,1,TRUE,TRUE,8,submersible,vwc,monthly,good,enough,borehole,communal standpipe,functional
1529,618,Ruvuma,1,TRUE,FALSE,4,other handpump,vwc,per bucket,good,enough,borehole,hand pump,non functional
1530,1506,Kilimanjaro,1,TRUE,TRUE,7,gravity,company,monthly,good,enough,spring,communal standpipe,non functional
1531,324,Mtwara,1,TRUE,TRUE,25,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional
1532,0,Morogoro,600,TRUE,TRUE,18,swn 80,vwc,annually,salty,insufficient,shallow well,hand pump,functional
1533,322,Lindi,160,TRUE,TRUE,15,submersible,vwc,never pay,good,enough,borehole,communal standpipe,non functional
1534,1464,Arusha,350,TRUE,TRUE,19,gravity,vwc,per bucket,good,seasonal,river/lake,communal standpipe,functional
1535,1746,Kilimanjaro,1,TRUE,TRUE,13,gravity,company,monthly,good,enough,spring,communal standpipe,non functional
1536,220,Mtwara,750,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional
1537,1747,Iringa,95,TRUE,TRUE,4,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional
1538,1176,Rukwa,150,TRUE,TRUE,27,india mark ii,vwc,annually,good,enough,borehole,hand pump,functional
1539,1172,Mara,250,TRUE,TRUE,3,afridev,wug,monthly,good,enough,borehole,hand pump,non functional
1540,905,Ruvuma,200,TRUE,TRUE,30,gravity,vwc,monthly,good,seasonal,river/lake,communal standpipe,non functional
1541,1466,Kilimanjaro,1,TRUE,TRUE,36,gravity,company,monthly,good,enough,spring,communal standpipe,non functional
1542,336,Lindi,350,TRUE,TRUE,31,nira/tanira,vwc,per bucket,good,dry,shallow well,hand pump,non functional
1543,1191,Rukwa,170,TRUE,TRUE,25,india mark ii,vwc,annually,good,enough,borehole,hand pump,functional
1544,976,Ruvuma,0,TRUE,TRUE,6,india mark ii,vwc,on failure,good,dry,shallow well,hand pump,non functional
1545,1685,Rukwa,600,TRUE,FALSE,30,india mark ii,vwc,annually,salty,enough,borehole,hand pump,functional
1546,164,Morogoro,50,TRUE,TRUE,16,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional
1547,2204,Iringa,0,TRUE,FALSE,7,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
1548,391,Tanga,80,TRUE,FALSE,6,gravity,parastatal,never pay,good,enough,spring,communal standpipe,functional
1549,455,Ruvuma,1,FALSE,FALSE,14,swn 80,vwc,never pay,good,insufficient,borehole,hand pump,non functional
1550,436,Morogoro,250,TRUE,TRUE,28,swn 80,vwc,monthly,good,seasonal,shallow well,hand pump,non functional
1551,1750,Rukwa,100,TRUE,TRUE,30,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional
1552,1004,Manyara,200,TRUE,TRUE,7,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional
1553,166,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional
1554,85,Dar es Salaam,221,TRUE,FALSE,43,submersible,vwc,per bucket,good,dry,river/lake,communal standpipe,non functional
1555,-5,Pwani,100,TRUE,FALSE,5,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional
1556,604,Morogoro,50,TRUE,TRUE,39,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
1557,1595,Rukwa,50,TRUE,FALSE,22,swn 80,vwc,never pay,good,enough,borehole,hand pump,non functional
1558,962,Manyara,330,TRUE,TRUE,15,nira/tanira,vwc,never pay,fluoride,enough,shallow well,hand pump,functional
1559,1784,Tanga,1,TRUE,TRUE,35,gravity,vwc,monthly,good,enough,spring,communal standpipe,non functional
1560,1406,Shinyanga,300,TRUE,FALSE,1,india mark ii,wug,never pay,good,enough,shallow well,hand pump,functional
1561,1972,Iringa,10,TRUE,FALSE,5,rope pump,vwc,never pay,good,enough,shallow well,hand pump,functional
1562,171,Pwani,40,FALSE,TRUE,3,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
1563,1333,Singida,250,TRUE,FALSE,35,mono,vwc,never pay,good,enough,borehole,communal standpipe,non functional
1564,764,Iringa,1,TRUE,TRUE,28,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1565,1144,Kilimanjaro,100,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
1566,1988,Iringa,0,TRUE,FALSE,4,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
1567,334,Morogoro,30,TRUE,TRUE,3,submersible,vwc,never pay,good,enough,borehole,communal standpipe,functional
1568,213,Mtwara,350,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional
1569,-36,Pwani,1,TRUE,TRUE,7,mono,vwc,per bucket,good,enough,borehole,communal standpipe,non functional
1570,1417,Kilimanjaro,1,TRUE,TRUE,38,gravity,company,monthly,good,enough,spring,communal standpipe,non functional
